database,filename,height,width,dtype,stage3_equals_enhance,validation_error,raw_nfiq2,raw_error,step0_nfiq2,step0_error,stage1_nfiq2,stage1_error,stage2_nfiq2,stage2_error,stage3_nfiq2,stage3_error,step0_minus_raw,stage1_minus_step0,stage1_minus_raw,stage2_minus_stage1,stage2_minus_raw,stage3_minus_stage2,stage3_minus_raw
DB1_B,105_1.tif,374,388,uint8,True,,48.0,,48.0,,47.0,,56.0,,52.0,,0.0,-1.0,-1.0,9.0,8.0,-4.0,4.0
DB1_B,105_2.tif,374,388,uint8,True,,80.0,,80.0,,86.0,,87.0,,83.0,,0.0,6.0,6.0,1.0,7.0,-4.0,3.0
DB1_B,105_3.tif,374,388,uint8,True,,77.0,,77.0,,73.0,,69.0,,60.0,,0.0,-4.0,-4.0,-4.0,-8.0,-9.0,-17.0
DB1_B,105_4.tif,374,388,uint8,True,,55.0,,55.0,,59.0,,62.0,,68.0,,0.0,4.0,4.0,3.0,7.0,6.0,13.0
DB1_B,105_5.tif,374,388,uint8,True,,64.0,,64.0,,73.0,,66.0,,66.0,,0.0,9.0,9.0,-7.0,2.0,0.0,2.0
DB1_B,105_6.tif,374,388,uint8,True,,50.0,,50.0,,46.0,,44.0,,38.0,,0.0,-4.0,-4.0,-2.0,-6.0,-6.0,-12.0
DB1_B,105_7.tif,374,388,uint8,True,,73.0,,73.0,,72.0,,77.0,,60.0,,0.0,-1.0,-1.0,5.0,4.0,-17.0,-13.0
DB1_B,105_8.tif,374,388,uint8,True,,64.0,,64.0,,65.0,,67.0,,59.0,,0.0,1.0,1.0,2.0,3.0,-8.0,-5.0
DB1_B,106_1.tif,374,388,uint8,True,,81.0,,81.0,,77.0,,74.0,,75.0,,0.0,-4.0,-4.0,-3.0,-7.0,1.0,-6.0
DB1_B,106_2.tif,374,388,uint8,True,,73.0,,73.0,,89.0,,79.0,,62.0,,0.0,16.0,16.0,-10.0,6.0,-17.0,-11.0
DB1_B,106_3.tif,374,388,uint8,True,,79.0,,79.0,,83.0,,74.0,,79.0,,0.0,4.0,4.0,-9.0,-5.0,5.0,0.0
DB1_B,106_4.tif,374,388,uint8,True,,77.0,,77.0,,69.0,,65.0,,53.0,,0.0,-8.0,-8.0,-4.0,-12.0,-12.0,-24.0
DB1_B,106_5.tif,374,388,uint8,True,,71.0,,71.0,,75.0,,77.0,,73.0,,0.0,4.0,4.0,2.0,6.0,-4.0,2.0
DB1_B,106_6.tif,374,388,uint8,True,,72.0,,72.0,,75.0,,75.0,,69.0,,0.0,3.0,3.0,0.0,3.0,-6.0,-3.0
DB1_B,106_7.tif,374,388,uint8,True,,76.0,,76.0,,82.0,,83.0,,80.0,,0.0,6.0,6.0,1.0,7.0,-3.0,4.0
DB1_B,106_8.tif,374,388,uint8,True,,71.0,,71.0,,72.0,,78.0,,69.0,,0.0,1.0,1.0,6.0,7.0,-9.0,-2.0
