database,filename,stage,nfiq2,error,scored_path,height,width,dtype
DB1_B,102_4.tif,stage1,79.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,102_4.tif,stage2,72.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,102_4.tif,stage3,75.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,102_5.tif,raw,49.0,,data\raw\DB1_B\102_5.tif,374,388,uint8
DB1_B,102_5.tif,step0,49.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,102_5.tif,stage1,53.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,102_5.tif,stage2,55.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,102_5.tif,stage3,50.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,102_6.tif,raw,87.0,,data\raw\DB1_B\102_6.tif,374,388,uint8
DB1_B,102_6.tif,step0,87.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,102_6.tif,stage1,88.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,102_6.tif,stage2,69.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,102_6.tif,stage3,59.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,102_7.tif,raw,31.0,,data\raw\DB1_B\102_7.tif,374,388,uint8
DB1_B,102_7.tif,step0,31.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,102_7.tif,stage1,42.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,102_7.tif,stage2,47.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,102_7.tif,stage3,52.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,102_8.tif,raw,47.0,,data\raw\DB1_B\102_8.tif,374,388,uint8
DB1_B,102_8.tif,step0,47.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
