database,filename,relative_path,raw_nfiq2,stage1_p1_nfiq2,stage2_p1_p2_nfiq2,stage3_p1_p2_p6_nfiq2,delta_p1,delta_p2,delta_p6,delta_final,processing_status,error,raw_error,stage1_error,stage2_error,stage3_error,shape,dtype,stage_contracts_ok,processing_seconds,scoring_seconds,total_seconds
DB3_B,105_2.tif,data/raw/DB3_B/105_2.tif,20.0,24.0,19.0,21.0,4.0,-5.0,2.0,1.0,success,,,,,,300x300,uint8,True,0.5210934999631718,3.986360799986869,4.5288824000163
DB3_B,105_3.tif,data/raw/DB3_B/105_3.tif,18.0,43.0,27.0,32.0,25.0,-16.0,5.0,14.0,success,,,,,,300x300,uint8,True,0.4631298999884166,4.185841500002425,4.661190300015733
DB3_B,105_4.tif,data/raw/DB3_B/105_4.tif,48.0,34.0,39.0,40.0,-14.0,5.0,1.0,-8.0,success,,,,,,300x300,uint8,True,0.6453677000245079,4.097873000020627,4.768056100001559
DB3_B,105_5.tif,data/raw/DB3_B/105_5.tif,35.0,34.0,46.0,47.0,-1.0,12.0,1.0,12.0,success,,,,,,300x300,uint8,True,0.7344463000190444,4.071500699967146,4.825598700030241
DB3_B,105_6.tif,data/raw/DB3_B/105_6.tif,33.0,40.0,40.0,45.0,7.0,0.0,5.0,12.0,success,,,,,,300x300,uint8,True,0.5569868999882601,3.8403009999892674,4.4150326999952085
DB3_B,105_7.tif,data/raw/DB3_B/105_7.tif,32.0,24.0,28.0,30.0,-8.0,4.0,2.0,-2.0,success,,,,,,300x300,uint8,True,0.4421172000002116,3.6363684000098146,4.08764850004809
DB3_B,105_8.tif,data/raw/DB3_B/105_8.tif,32.0,21.0,20.0,19.0,-11.0,-1.0,-1.0,-13.0,success,,,,,,300x300,uint8,True,0.47597359999781474,3.9129632000112906,4.404506099992432
DB3_B,106_1.tif,data/raw/DB3_B/106_1.tif,34.0,43.0,44.0,50.0,9.0,1.0,6.0,16.0,success,,,,,,300x300,uint8,True,0.45311930001480505,3.671648500021547,4.1360756999929436
DB3_B,106_2.tif,data/raw/DB3_B/106_2.tif,32.0,32.0,34.0,36.0,0.0,2.0,2.0,4.0,success,,,,,,300x300,uint8,True,0.5229503000155091,3.7925396999926306,4.325754999998026
DB3_B,106_3.tif,data/raw/DB3_B/106_3.tif,29.0,32.0,31.0,29.0,3.0,-1.0,-2.0,0.0,success,,,,,,300x300,uint8,True,0.7495871999999508,3.8136055000359192,4.582354299956933
DB3_B,106_4.tif,data/raw/DB3_B/106_4.tif,40.0,41.0,44.0,42.0,1.0,3.0,-2.0,2.0,success,,,,,,300x300,uint8,True,0.5738324000267312,3.921834699984174,4.514028100005817
DB3_B,106_5.tif,data/raw/DB3_B/106_5.tif,19.0,21.0,23.0,24.0,2.0,2.0,1.0,5.0,success,,,,,,300x300,uint8,True,0.31980499997735023,3.8229032000526786,4.160624300013296
DB3_B,106_6.tif,data/raw/DB3_B/106_6.tif,22.0,21.0,19.0,19.0,-1.0,-2.0,0.0,-3.0,success,,,,,,300x300,uint8,True,0.4171706000342965,4.0262497999938205,4.459818500035908
DB3_B,106_7.tif,data/raw/DB3_B/106_7.tif,14.0,9.0,8.0,8.0,-5.0,-1.0,0.0,-6.0,success,,,,,,300x300,uint8,True,0.3186509999795817,3.9795295000076294,4.320983100042213
DB3_B,106_8.tif,data/raw/DB3_B/106_8.tif,9.0,10.0,10.0,10.0,1.0,0.0,0.0,1.0,success,,,,,,300x300,uint8,True,0.37535809999099,3.7701644000480883,4.168161900015548
DB3_B,107_1.tif,data/raw/DB3_B/107_1.tif,29.0,21.0,31.0,33.0,-8.0,10.0,2.0,4.0,success,,,,,,300x300,uint8,True,0.4711253000423312,3.4141034000203945,3.894469899998512
DB3_B,107_2.tif,data/raw/DB3_B/107_2.tif,14.0,16.0,17.0,16.0,2.0,1.0,-1.0,2.0,success,,,,,,300x300,uint8,True,0.4342587999999523,3.873980699980166,4.317717499972787
DB3_B,107_3.tif,data/raw/DB3_B/107_3.tif,16.0,22.0,29.0,25.0,6.0,7.0,-4.0,9.0,success,,,,,,300x300,uint8,True,0.3627041000290774,3.7128340000053868,4.095357200014405
DB3_B,107_4.tif,data/raw/DB3_B/107_4.tif,32.0,29.0,30.0,32.0,-3.0,1.0,2.0,0.0,success,,,,,,300x300,uint8,True,0.4498664999846369,4.259543000021949,4.720790399995167
DB3_B,107_5.tif,data/raw/DB3_B/107_5.tif,26.0,24.0,33.0,33.0,-2.0,9.0,0.0,7.0,success,,,,,,300x300,uint8,True,0.5020024999976158,4.0877622999832965,4.600898700009566
DB3_B,107_6.tif,data/raw/DB3_B/107_6.tif,16.0,21.0,17.0,19.0,5.0,-4.0,2.0,3.0,success,,,,,,300x300,uint8,True,0.4674204000039026,4.7688125999993645,5.254134200047702
DB3_B,107_7.tif,data/raw/DB3_B/107_7.tif,12.0,8.0,6.0,6.0,-4.0,-2.0,0.0,-6.0,success,,,,,,300x300,uint8,True,0.2944220999488607,4.844441899971571,5.159707699960563
DB3_B,107_8.tif,data/raw/DB3_B/107_8.tif,9.0,17.0,15.0,15.0,8.0,-2.0,0.0,6.0,success,,,,,,300x300,uint8,True,0.3174635999603197,4.264452299976256,4.597381500003394
DB3_B,108_1.tif,data/raw/DB3_B/108_1.tif,33.0,21.0,21.0,23.0,-12.0,0.0,2.0,-10.0,success,,,,,,300x300,uint8,True,0.19765350001398474,3.533744399959687,3.7483132000197656
DB3_B,108_2.tif,data/raw/DB3_B/108_2.tif,24.0,6.0,7.0,7.0,-18.0,1.0,0.0,-17.0,success,,,,,,300x300,uint8,True,0.2679469000431709,4.1592783000087366,4.444811599969398
DB3_B,108_3.tif,data/raw/DB3_B/108_3.tif,5.0,7.0,9.0,6.0,2.0,2.0,-3.0,1.0,success,,,,,,300x300,uint8,True,0.2636896000476554,4.228732299990952,4.5025254000211135
DB3_B,108_4.tif,data/raw/DB3_B/108_4.tif,9.0,4.0,6.0,6.0,-5.0,2.0,0.0,-3.0,success,,,,,,300x300,uint8,True,0.20087529998272657,4.129907700000331,4.353869200043846
DB3_B,108_5.tif,data/raw/DB3_B/108_5.tif,27.0,32.0,28.0,29.0,5.0,-4.0,1.0,2.0,success,,,,,,300x300,uint8,True,0.3941961000091396,4.268188400019426,4.679825700004585
DB3_B,108_6.tif,data/raw/DB3_B/108_6.tif,37.0,34.0,31.0,30.0,-3.0,-3.0,-1.0,-7.0,success,,,,,,300x300,uint8,True,0.38821699999971315,3.778200500004459,4.187824300024658
DB3_B,108_7.tif,data/raw/DB3_B/108_7.tif,18.0,17.0,29.0,30.0,-1.0,12.0,1.0,12.0,success,,,,,,300x300,uint8,True,0.4433722999528982,3.8203060000087135,4.283918300003279
DB3_B,108_8.tif,data/raw/DB3_B/108_8.tif,19.0,15.0,24.0,21.0,-4.0,9.0,-3.0,2.0,success,,,,,,300x300,uint8,True,0.3682568999938667,3.9874276000191458,4.373755699954927
DB3_B,109_1.tif,data/raw/DB3_B/109_1.tif,11.0,13.0,22.0,22.0,2.0,9.0,0.0,11.0,success,,,,,,300x300,uint8,True,0.3266093999845907,3.679882899974473,4.018078900000546
DB3_B,109_2.tif,data/raw/DB3_B/109_2.tif,17.0,22.0,23.0,20.0,5.0,1.0,-3.0,3.0,success,,,,,,300x300,uint8,True,0.4840641999617219,3.7329452999983914,4.2389186000218615
DB3_B,109_3.tif,data/raw/DB3_B/109_3.tif,15.0,20.0,19.0,19.0,5.0,-1.0,0.0,4.0,success,,,,,,300x300,uint8,True,0.4171926000271924,3.6407780000008643,4.0723231000010855
DB3_B,109_4.tif,data/raw/DB3_B/109_4.tif,20.0,21.0,19.0,20.0,1.0,-2.0,1.0,0.0,success,,,,,,300x300,uint8,True,0.2696375999948941,3.724967500020284,4.013877399964258
DB3_B,109_5.tif,data/raw/DB3_B/109_5.tif,31.0,35.0,39.0,36.0,4.0,4.0,-3.0,5.0,success,,,,,,300x300,uint8,True,0.42612459999509156,4.248565499961842,4.686355200014077
DB3_B,109_6.tif,data/raw/DB3_B/109_6.tif,38.0,44.0,44.0,43.0,6.0,0.0,-1.0,5.0,success,,,,,,300x300,uint8,True,0.6333112000138499,4.046951199998148,4.702798300015274
DB3_B,109_7.tif,data/raw/DB3_B/109_7.tif,11.0,9.0,11.0,10.0,-2.0,2.0,-1.0,-1.0,success,,,,,,300x300,uint8,True,0.4581107000121847,3.9079610999906436,4.389399099978618
DB3_B,109_8.tif,data/raw/DB3_B/109_8.tif,16.0,21.0,23.0,24.0,5.0,2.0,1.0,8.0,success,,,,,,300x300,uint8,True,0.2274502000072971,3.2939689999911934,3.5318333000177518
DB3_B,110_1.tif,data/raw/DB3_B/110_1.tif,12.0,8.0,11.0,8.0,-4.0,3.0,-3.0,-4.0,success,,,,,,300x300,uint8,True,0.4544958000187762,3.602825500012841,4.0786129999905825
DB3_B,110_2.tif,data/raw/DB3_B/110_2.tif,17.0,4.0,3.0,3.0,-13.0,-1.0,0.0,-14.0,success,,,,,,300x300,uint8,True,0.29262239998206496,4.038382400001865,4.352753299986944
DB3_B,110_3.tif,data/raw/DB3_B/110_3.tif,11.0,1.0,0.0,0.0,-10.0,-1.0,0.0,-11.0,success,,,,,,300x300,uint8,True,0.42697899998165667,4.214688499982003,4.6569893000414595
DB3_B,110_4.tif,data/raw/DB3_B/110_4.tif,19.0,12.0,8.0,7.0,-7.0,-4.0,-1.0,-12.0,success,,,,,,300x300,uint8,True,0.5376880000112578,4.283308700018097,4.830772300017998
DB3_B,110_5.tif,data/raw/DB3_B/110_5.tif,,9.0,15.0,14.0,,6.0,-1.0,,error,raw: Error: NFIQ2 computeUnifiedQualityScore returned an error code: Could not create feature set from raw data: FRFXLL_ERR_FB_TOO_SMALL_AREA: Fingerprint area is too small. Most likely this is because the tip of the finger is presented.,Error: NFIQ2 computeUnifiedQualityScore returned an error code: Could not create feature set from raw data: FRFXLL_ERR_FB_TOO_SMALL_AREA: Fingerprint area is too small. Most likely this is because the tip of the finger is presented.,,,,300x300,uint8,True,0.4231290000025183,3.8778262000414543,4.308693300001323
DB3_B,110_6.tif,data/raw/DB3_B/110_6.tif,18.0,14.0,13.0,13.0,-4.0,-1.0,0.0,-5.0,success,,,,,,300x300,uint8,True,0.2570488000055775,3.9397173999459483,4.211709600000177
DB3_B,110_7.tif,data/raw/DB3_B/110_7.tif,17.0,10.0,10.0,11.0,-7.0,0.0,1.0,-6.0,success,,,,,,300x300,uint8,True,0.3478124000248499,4.038212300045416,4.406217600044329
DB3_B,110_8.tif,data/raw/DB3_B/110_8.tif,11.0,13.0,9.0,9.0,2.0,-4.0,0.0,-2.0,success,,,,,,300x300,uint8,True,0.24391359998844564,3.821207900007721,4.078091299976222
DB4_B,101_1.tif,data/raw/DB4_B/101_1.tif,39.0,43.0,46.0,43.0,4.0,3.0,-3.0,4.0,success,,,,,,384x288,uint8,True,0.5971849999623373,3.7317426999798045,4.3460667000035755
DB4_B,101_2.tif,data/raw/DB4_B/101_2.tif,39.0,38.0,39.0,43.0,-1.0,1.0,4.0,4.0,success,,,,,,384x288,uint8,True,0.5558558999910019,3.424329500005115,3.9932876999955624
DB4_B,101_3.tif,data/raw/DB4_B/101_3.tif,42.0,45.0,47.0,46.0,3.0,2.0,-1.0,4.0,success,,,,,,384x288,uint8,True,0.9866196000366472,3.3888170000282116,4.404315899999347
DB4_B,101_4.tif,data/raw/DB4_B/101_4.tif,50.0,53.0,59.0,59.0,3.0,6.0,0.0,9.0,success,,,,,,384x288,uint8,True,0.6649305000319146,3.8194922000402585,4.494026400032453
DB4_B,101_5.tif,data/raw/DB4_B/101_5.tif,37.0,45.0,45.0,44.0,8.0,0.0,-1.0,7.0,success,,,,,,384x288,uint8,True,0.48155520000727847,3.60613829997601,4.1057172999717295
DB4_B,101_6.tif,data/raw/DB4_B/101_6.tif,37.0,40.0,38.0,39.0,3.0,-2.0,1.0,2.0,success,,,,,,384x288,uint8,True,0.6016500000259839,4.399515400000382,5.018730400013737
DB4_B,101_7.tif,data/raw/DB4_B/101_7.tif,37.0,43.0,45.0,53.0,6.0,2.0,8.0,16.0,success,,,,,,384x288,uint8,True,0.5791961000068113,3.9262419000151567,4.55629300000146
DB4_B,101_8.tif,data/raw/DB4_B/101_8.tif,35.0,38.0,44.0,42.0,3.0,6.0,-2.0,7.0,success,,,,,,384x288,uint8,True,1.0517415999784134,4.346140199981164,5.417641400010325
DB4_B,102_1.tif,data/raw/DB4_B/102_1.tif,44.0,38.0,41.0,42.0,-6.0,3.0,1.0,-2.0,success,,,,,,384x288,uint8,True,1.096265800006222,4.337951600027736,5.457841900002677
DB4_B,102_2.tif,data/raw/DB4_B/102_2.tif,42.0,51.0,47.0,46.0,9.0,-4.0,-1.0,4.0,success,,,,,,384x288,uint8,True,1.0930710000102408,3.8417174000060186,4.960520400025416
DB4_B,102_3.tif,data/raw/DB4_B/102_3.tif,27.0,35.0,37.0,35.0,8.0,2.0,-2.0,8.0,success,,,,,,384x288,uint8,True,1.0895560000208206,4.209944100002758,5.324701400008053
DB4_B,102_4.tif,data/raw/DB4_B/102_4.tif,38.0,45.0,45.0,47.0,7.0,0.0,2.0,9.0,success,,,,,,384x288,uint8,True,0.9394646000000648,4.178793600003701,5.133023399976082
DB4_B,102_5.tif,data/raw/DB4_B/102_5.tif,29.0,39.0,43.0,39.0,10.0,4.0,-4.0,10.0,success,,,,,,384x288,uint8,True,0.8939865000429563,4.176288000016939,5.095420399971772
DB4_B,102_6.tif,data/raw/DB4_B/102_6.tif,46.0,45.0,41.0,47.0,-1.0,-4.0,6.0,1.0,success,,,,,,384x288,uint8,True,1.0777608000207692,4.357944899995346,5.460122100019362
DB4_B,102_7.tif,data/raw/DB4_B/102_7.tif,31.0,37.0,37.0,37.0,6.0,0.0,0.0,6.0,success,,,,,,384x288,uint8,True,0.9747929999721237,4.347300700028427,5.334022500028368
DB4_B,102_8.tif,data/raw/DB4_B/102_8.tif,51.0,47.0,48.0,52.0,-4.0,1.0,4.0,1.0,success,,,,,,384x288,uint8,True,1.060611599998083,4.503982399997767,5.584221100027207
DB4_B,103_1.tif,data/raw/DB4_B/103_1.tif,44.0,43.0,42.0,40.0,-1.0,-1.0,-2.0,-4.0,success,,,,,,384x288,uint8,True,0.7641136000165716,4.080106899957173,4.8716875000391155
DB4_B,103_2.tif,data/raw/DB4_B/103_2.tif,43.0,41.0,50.0,48.0,-2.0,9.0,-2.0,5.0,success,,,,,,384x288,uint8,True,0.7963399000000209,4.515199400018901,5.325335600005928
DB4_B,103_3.tif,data/raw/DB4_B/103_3.tif,46.0,45.0,45.0,43.0,-1.0,0.0,-2.0,-3.0,success,,,,,,384x288,uint8,True,0.9466947999899276,4.773351999989245,5.74880480003776
DB4_B,103_4.tif,data/raw/DB4_B/103_4.tif,34.0,38.0,43.0,45.0,4.0,5.0,2.0,11.0,success,,,,,,384x288,uint8,True,0.8232262000092305,4.106986799975857,4.950521800026763
DB4_B,103_5.tif,data/raw/DB4_B/103_5.tif,44.0,45.0,45.0,47.0,1.0,0.0,2.0,3.0,success,,,,,,384x288,uint8,True,0.846782400039956,4.451687499997206,5.319472499948461
DB4_B,103_6.tif,data/raw/DB4_B/103_6.tif,38.0,35.0,39.0,39.0,-3.0,4.0,0.0,1.0,success,,,,,,384x288,uint8,True,0.8478004999924451,3.9565663000103086,4.827707200020086
DB4_B,103_7.tif,data/raw/DB4_B/103_7.tif,43.0,40.0,45.0,45.0,-3.0,5.0,0.0,2.0,success,,,,,,384x288,uint8,True,0.8269744000281207,4.1339610000140965,4.9795000000158325
DB4_B,103_8.tif,data/raw/DB4_B/103_8.tif,39.0,50.0,50.0,47.0,11.0,0.0,-3.0,8.0,success,,,,,,384x288,uint8,True,0.9280806999886408,4.004751299973577,4.952767300012056
DB4_B,104_1.tif,data/raw/DB4_B/104_1.tif,20.0,31.0,28.0,26.0,11.0,-3.0,-2.0,6.0,success,,,,,,384x288,uint8,True,0.9043850000016391,3.885939800005872,4.807996099989396
DB4_B,104_2.tif,data/raw/DB4_B/104_2.tif,40.0,27.0,32.0,32.0,-13.0,5.0,0.0,-8.0,success,,,,,,384x288,uint8,True,0.8338897000066936,4.303601799998432,5.164173599972855
DB4_B,104_3.tif,data/raw/DB4_B/104_3.tif,46.0,43.0,41.0,48.0,-3.0,-2.0,7.0,2.0,success,,,,,,384x288,uint8,True,0.46298579999711365,4.5274952000472695,5.001568800013047
DB4_B,104_4.tif,data/raw/DB4_B/104_4.tif,45.0,45.0,50.0,48.0,0.0,5.0,-2.0,3.0,success,,,,,,384x288,uint8,True,0.6618103999644518,3.913771599996835,4.58432319998974
DB4_B,104_5.tif,data/raw/DB4_B/104_5.tif,46.0,47.0,47.0,44.0,1.0,0.0,-3.0,-2.0,success,,,,,,384x288,uint8,True,0.5721124999690801,4.362424299994018,4.946010000014212
DB4_B,104_6.tif,data/raw/DB4_B/104_6.tif,31.0,29.0,33.0,30.0,-2.0,4.0,-3.0,-1.0,success,,,,,,384x288,uint8,True,0.8745098999934271,4.892668100015726,5.78260879998561
DB4_B,104_7.tif,data/raw/DB4_B/104_7.tif,33.0,30.0,30.0,30.0,-3.0,0.0,0.0,-3.0,success,,,,,,384x288,uint8,True,1.1087240000488237,5.1886040000244975,6.311693799973
DB4_B,104_8.tif,data/raw/DB4_B/104_8.tif,36.0,39.0,40.0,41.0,3.0,1.0,1.0,5.0,success,,,,,,384x288,uint8,True,1.0702683000126854,4.152982900035568,5.241364900022745
DB4_B,105_1.tif,data/raw/DB4_B/105_1.tif,19.0,28.0,24.0,25.0,9.0,-4.0,1.0,6.0,success,,,,,,384x288,uint8,True,0.4795458000153303,5.129668099980336,5.633810700033791
DB4_B,105_2.tif,data/raw/DB4_B/105_2.tif,24.0,46.0,41.0,44.0,22.0,-5.0,3.0,20.0,success,,,,,,384x288,uint8,True,0.8772238000528887,4.185186300019268,5.0656649000011384
DB4_B,105_3.tif,data/raw/DB4_B/105_3.tif,29.0,27.0,30.0,32.0,-2.0,3.0,2.0,3.0,success,,,,,,384x288,uint8,True,0.7747192999813706,4.254143099999055,5.030469699995592
DB4_B,105_4.tif,data/raw/DB4_B/105_4.tif,27.0,36.0,36.0,34.0,9.0,0.0,-2.0,7.0,success,,,,,,384x288,uint8,True,0.9498801999725401,4.368858699977864,5.338041800016072
DB4_B,105_5.tif,data/raw/DB4_B/105_5.tif,33.0,52.0,56.0,52.0,19.0,4.0,-4.0,19.0,success,,,,,,384x288,uint8,True,1.190155300020706,4.11276370001724,5.314100300020073
DB4_B,105_6.tif,data/raw/DB4_B/105_6.tif,26.0,42.0,44.0,46.0,16.0,2.0,2.0,20.0,success,,,,,,384x288,uint8,True,0.8900433000526391,3.37589119997574,4.29125579999527
DB4_B,105_7.tif,data/raw/DB4_B/105_7.tif,29.0,37.0,39.0,39.0,8.0,2.0,0.0,10.0,success,,,,,,384x288,uint8,True,1.1563856999855489,3.299635999952443,4.4732670999947
DB4_B,105_8.tif,data/raw/DB4_B/105_8.tif,30.0,37.0,41.0,38.0,7.0,4.0,-3.0,8.0,success,,,,,,384x288,uint8,True,0.2729577000136487,2.067344299983233,2.352687700011302
DB4_B,106_1.tif,data/raw/DB4_B/106_1.tif,14.0,17.0,16.0,17.0,3.0,-1.0,1.0,3.0,success,,,,,,384x288,uint8,True,0.2870410999748856,4.138058100012131,4.433939600014128
DB4_B,106_2.tif,data/raw/DB4_B/106_2.tif,24.0,30.0,36.0,38.0,6.0,6.0,2.0,14.0,success,,,,,,384x288,uint8,True,0.9079825000371784,4.113700899994001,5.040448300016578
DB4_B,106_3.tif,data/raw/DB4_B/106_3.tif,24.0,41.0,41.0,40.0,17.0,0.0,-1.0,16.0,success,,,,,,384x288,uint8,True,0.8536274000070989,4.350859199999832,5.234335299988743
DB4_B,106_4.tif,data/raw/DB4_B/106_4.tif,37.0,42.0,41.0,41.0,5.0,-1.0,0.0,4.0,success,,,,,,384x288,uint8,True,0.5836338000372052,4.153700100025162,4.74742770002922
DB4_B,106_5.tif,data/raw/DB4_B/106_5.tif,19.0,30.0,27.0,26.0,11.0,-3.0,-1.0,7.0,success,,,,,,384x288,uint8,True,0.5122086000046693,3.6757661000010557,4.204036200011615
DB4_B,106_6.tif,data/raw/DB4_B/106_6.tif,23.0,35.0,36.0,32.0,12.0,1.0,-4.0,9.0,success,,,,,,384x288,uint8,True,1.0269322999520227,4.694919399975333,5.738656800007448
DB4_B,106_7.tif,data/raw/DB4_B/106_7.tif,26.0,35.0,38.0,40.0,9.0,3.0,2.0,14.0,success,,,,,,384x288,uint8,True,1.0519598999526352,4.809134699986316,5.882872200047132
DB4_B,106_8.tif,data/raw/DB4_B/106_8.tif,28.0,29.0,30.0,30.0,1.0,1.0,0.0,2.0,success,,,,,,384x288,uint8,True,0.9234639999922365,4.108019600040279,5.056072300008964
DB4_B,107_1.tif,data/raw/DB4_B/107_1.tif,31.0,32.0,31.0,30.0,1.0,-1.0,-1.0,-1.0,success,,,,,,384x288,uint8,True,0.9518195000127889,4.143790600006469,5.120035899977665
DB4_B,107_2.tif,data/raw/DB4_B/107_2.tif,33.0,40.0,43.0,43.0,7.0,3.0,0.0,10.0,success,,,,,,384x288,uint8,True,0.8752876000362448,4.162271100038197,5.052264199999627
DB4_B,107_3.tif,data/raw/DB4_B/107_3.tif,32.0,39.0,37.0,38.0,7.0,-2.0,1.0,6.0,success,,,,,,384x288,uint8,True,0.844848999986425,4.227500899985898,5.1020455999532714
DB4_B,107_4.tif,data/raw/DB4_B/107_4.tif,26.0,38.0,38.0,41.0,12.0,0.0,3.0,15.0,success,,,,,,384x288,uint8,True,0.7978108000243083,3.9616617999854498,4.784711000043899
DB4_B,107_5.tif,data/raw/DB4_B/107_5.tif,46.0,46.0,49.0,49.0,0.0,3.0,0.0,3.0,success,,,,,,384x288,uint8,True,0.9778523000422865,4.071129599993583,5.061226000019815
DB4_B,107_6.tif,data/raw/DB4_B/107_6.tif,47.0,51.0,47.0,51.0,4.0,-4.0,4.0,4.0,success,,,,,,384x288,uint8,True,1.0305057000368834,4.805364300031215,5.863959899987094
DB4_B,107_7.tif,data/raw/DB4_B/107_7.tif,18.0,26.0,29.0,28.0,8.0,3.0,-1.0,10.0,success,,,,,,384x288,uint8,True,0.7882007999578491,3.8294854999985546,4.635001499962527
DB4_B,107_8.tif,data/raw/DB4_B/107_8.tif,18.0,34.0,25.0,25.0,16.0,-9.0,0.0,7.0,success,,,,,,384x288,uint8,True,0.8787752999924123,4.137670899974182,5.037948299956042
DB4_B,108_1.tif,data/raw/DB4_B/108_1.tif,31.0,44.0,45.0,41.0,13.0,1.0,-4.0,10.0,success,,,,,,384x288,uint8,True,0.7783810999826528,3.9888896999764256,4.779541399970185
DB4_B,108_2.tif,data/raw/DB4_B/108_2.tif,23.0,30.0,29.0,30.0,7.0,-1.0,1.0,7.0,success,,,,,,384x288,uint8,True,0.6786612999858335,4.137214599992149,4.837056999967899
DB4_B,108_3.tif,data/raw/DB4_B/108_3.tif,8.0,6.0,9.0,9.0,-2.0,3.0,0.0,1.0,success,,,,,,384x288,uint8,True,0.583349900029134,3.8648492000065744,4.472971700015478
DB4_B,108_4.tif,data/raw/DB4_B/108_4.tif,26.0,29.0,26.0,27.0,3.0,-3.0,1.0,1.0,success,,,,,,384x288,uint8,True,0.6848437000298873,4.127331700001378,4.833888799999841
DB4_B,108_5.tif,data/raw/DB4_B/108_5.tif,11.0,25.0,28.0,28.0,14.0,3.0,0.0,17.0,success,,,,,,384x288,uint8,True,0.6555018000071868,4.080398700025398,4.752019300009124
DB4_B,108_6.tif,data/raw/DB4_B/108_6.tif,5.0,25.0,23.0,22.0,20.0,-2.0,-1.0,17.0,success,,,,,,384x288,uint8,True,0.616295900021214,4.064761699992232,4.695628900022712
DB4_B,108_7.tif,data/raw/DB4_B/108_7.tif,28.0,38.0,35.0,35.0,10.0,-3.0,0.0,7.0,success,,,,,,384x288,uint8,True,0.6394818000262603,3.9723235000274144,4.633082700020168
DB4_B,108_8.tif,data/raw/DB4_B/108_8.tif,43.0,31.0,32.0,29.0,-12.0,1.0,-3.0,-14.0,success,,,,,,384x288,uint8,True,0.808500399987679,4.03875380003592,4.872067900025286
DB4_B,109_1.tif,data/raw/DB4_B/109_1.tif,12.0,16.0,19.0,19.0,4.0,3.0,0.0,7.0,success,,,,,,384x288,uint8,True,0.6860990999848582,4.256292500009295,4.967683099966962
DB4_B,109_2.tif,data/raw/DB4_B/109_2.tif,19.0,20.0,21.0,22.0,1.0,1.0,1.0,3.0,success,,,,,,384x288,uint8,True,0.6794780999771319,3.6376026999787427,4.342014399997424
DB4_B,109_3.tif,data/raw/DB4_B/109_3.tif,24.0,38.0,36.0,37.0,14.0,-2.0,1.0,13.0,success,,,,,,384x288,uint8,True,0.6875870999647304,4.174159299989697,4.875097699987236
DB4_B,109_4.tif,data/raw/DB4_B/109_4.tif,5.0,8.0,8.0,11.0,3.0,0.0,3.0,6.0,success,,,,,,384x288,uint8,True,0.6334147999878041,4.00844230002258,4.6610652999952435
DB4_B,109_5.tif,data/raw/DB4_B/109_5.tif,24.0,37.0,42.0,42.0,13.0,5.0,0.0,18.0,success,,,,,,384x288,uint8,True,0.7329144999966957,4.204638299997896,4.961654999991879
DB4_B,109_6.tif,data/raw/DB4_B/109_6.tif,9.0,14.0,9.0,9.0,5.0,-5.0,0.0,0.0,success,,,,,,384x288,uint8,True,0.6072809000033885,4.449659799982328,5.0725570999784395
DB4_B,109_7.tif,data/raw/DB4_B/109_7.tif,14.0,25.0,21.0,22.0,11.0,-4.0,1.0,8.0,success,,,,,,384x288,uint8,True,0.5944013000116684,4.1195091000408866,4.733566700015217
DB4_B,109_8.tif,data/raw/DB4_B/109_8.tif,31.0,36.0,40.0,42.0,5.0,4.0,2.0,11.0,success,,,,,,384x288,uint8,True,0.7005380999762565,3.793689700018149,4.51886910002213
DB4_B,110_1.tif,data/raw/DB4_B/110_1.tif,5.0,5.0,4.0,4.0,0.0,-1.0,0.0,-1.0,success,,,,,,384x288,uint8,True,0.5084084999980405,4.281727299967315,4.804297199996654
DB4_B,110_2.tif,data/raw/DB4_B/110_2.tif,12.0,12.0,10.0,10.0,0.0,-2.0,0.0,-2.0,success,,,,,,384x288,uint8,True,0.6287851999513805,4.208216900005937,4.857681799971033
DB4_B,110_3.tif,data/raw/DB4_B/110_3.tif,3.0,7.0,7.0,7.0,4.0,0.0,0.0,4.0,success,,,,,,384x288,uint8,True,0.6130682999501005,3.932125499995891,4.563218800001778
DB4_B,110_4.tif,data/raw/DB4_B/110_4.tif,3.0,3.0,6.0,4.0,0.0,3.0,-2.0,1.0,success,,,,,,384x288,uint8,True,0.546074999962002,4.547630699991714,5.110726599988993
DB4_B,110_5.tif,data/raw/DB4_B/110_5.tif,5.0,8.0,6.0,6.0,3.0,-2.0,0.0,1.0,success,,,,,,384x288,uint8,True,0.5573493999545462,4.007852200011257,4.584341399953701
DB4_B,110_6.tif,data/raw/DB4_B/110_6.tif,8.0,14.0,17.0,17.0,6.0,3.0,0.0,9.0,success,,,,,,384x288,uint8,True,0.6486164000234567,4.020379599998705,4.693417700007558
DB4_B,110_7.tif,data/raw/DB4_B/110_7.tif,15.0,30.0,25.0,27.0,15.0,-5.0,2.0,12.0,success,,,,,,384x288,uint8,True,0.7312647000071593,4.427460799983237,5.176939600030892
DB4_B,110_8.tif,data/raw/DB4_B/110_8.tif,22.0,28.0,30.0,30.0,6.0,2.0,0.0,8.0,success,,,,,,384x288,uint8,True,0.8225342000368983,4.163152799999807,4.998440399998799
