db,file,raw_nfiq2,raw_error,stage1_nfiq2,stage1_error,stage2_nfiq2,stage2_error,stage3_nfiq2,stage3_error,delta_p1,delta_p2,delta_p6,delta_final
DB3_B,109_3.tif,15.0,,13.0,,,Error: NFIQ2 computeUnifiedQualityScore returned an error code: Could not create feature set from raw data: FRFXLL_ERR_FB_TOO_SMALL_AREA: Fingerprint area is too small. Most likely this is because the tip of the finger is presented.,,Error: NFIQ2 computeUnifiedQualityScore returned an error code: Could not create feature set from raw data: FRFXLL_ERR_FB_TOO_SMALL_AREA: Fingerprint area is too small. Most likely this is because the tip of the finger is presented.,-2.0,,,
DB3_B,109_4.tif,20.0,,21.0,,,Error: NFIQ2 computeUnifiedQualityScore returned an error code: Could not create feature set from raw data: FRFXLL_ERR_FB_TOO_SMALL_AREA: Fingerprint area is too small. Most likely this is because the tip of the finger is presented.,,Error: NFIQ2 computeUnifiedQualityScore returned an error code: Could not create feature set from raw data: FRFXLL_ERR_FB_TOO_SMALL_AREA: Fingerprint area is too small. Most likely this is because the tip of the finger is presented.,1.0,,,
DB3_B,109_5.tif,31.0,,46.0,,51.0,,59.0,,15.0,5.0,8.0,28.0
DB3_B,109_6.tif,38.0,,45.0,,53.0,,54.0,,7.0,8.0,1.0,16.0
DB3_B,109_7.tif,11.0,,11.0,,,Error: NFIQ2 computeUnifiedQualityScore returned an error code: Could not create feature set from raw data: FRFXLL_ERR_FB_TOO_SMALL_AREA: Fingerprint area is too small. Most likely this is because the tip of the finger is presented.,,Error: NFIQ2 computeUnifiedQualityScore returned an error code: Could not create feature set from raw data: FRFXLL_ERR_FB_TOO_SMALL_AREA: Fingerprint area is too small. Most likely this is because the tip of the finger is presented.,0.0,,,
DB3_B,109_8.tif,16.0,,16.0,,,Error: NFIQ2 computeUnifiedQualityScore returned an error code: Could not create feature set from raw data: FRFXLL_ERR_FB_TOO_SMALL_AREA: Fingerprint area is too small. Most likely this is because the tip of the finger is presented.,,Error: NFIQ2 computeUnifiedQualityScore returned an error code: Could not create feature set from raw data: FRFXLL_ERR_FB_TOO_SMALL_AREA: Fingerprint area is too small. Most likely this is because the tip of the finger is presented.,0.0,,,
DB3_B,110_1.tif,12.0,,15.0,,34.0,,33.0,,3.0,19.0,-1.0,21.0
DB3_B,110_2.tif,17.0,,10.0,,,Error: NFIQ2 computeUnifiedQualityScore returned an error code: Could not create feature set from raw data: FRFXLL_ERR_FB_TOO_SMALL_AREA: Fingerprint area is too small. Most likely this is because the tip of the finger is presented.,27.0,,-7.0,,,10.0
DB3_B,110_3.tif,11.0,,9.0,,,Error: NFIQ2 computeUnifiedQualityScore returned an error code: Could not create feature set from raw data: FRFXLL_ERR_FB_TOO_SMALL_AREA: Fingerprint area is too small. Most likely this is because the tip of the finger is presented.,,Error: NFIQ2 computeUnifiedQualityScore returned an error code: Could not create feature set from raw data: FRFXLL_ERR_FB_TOO_SMALL_AREA: Fingerprint area is too small. Most likely this is because the tip of the finger is presented.,-2.0,,,
DB3_B,110_4.tif,19.0,,17.0,,,Error: NFIQ2 computeUnifiedQualityScore returned an error code: Could not create feature set from raw data: FRFXLL_ERR_FB_TOO_SMALL_AREA: Fingerprint area is too small. Most likely this is because the tip of the finger is presented.,,Error: NFIQ2 computeUnifiedQualityScore returned an error code: Could not create feature set from raw data: FRFXLL_ERR_FB_TOO_SMALL_AREA: Fingerprint area is too small. Most likely this is because the tip of the finger is presented.,-2.0,,,
DB3_B,110_5.tif,,Error: NFIQ2 computeUnifiedQualityScore returned an error code: Could not create feature set from raw data: FRFXLL_ERR_FB_TOO_SMALL_AREA: Fingerprint area is too small. Most likely this is because the tip of the finger is presented.,14.0,,,Error: NFIQ2 computeUnifiedQualityScore returned an error code: Could not create feature set from raw data: FRFXLL_ERR_FB_TOO_SMALL_AREA: Fingerprint area is too small. Most likely this is because the tip of the finger is presented.,,Error: NFIQ2 computeUnifiedQualityScore returned an error code: Could not create feature set from raw data: FRFXLL_ERR_FB_TOO_SMALL_AREA: Fingerprint area is too small. Most likely this is because the tip of the finger is presented.,,,,
DB3_B,110_6.tif,18.0,,15.0,,,Error: NFIQ2 computeUnifiedQualityScore returned an error code: Could not create feature set from raw data: FRFXLL_ERR_FB_TOO_SMALL_AREA: Fingerprint area is too small. Most likely this is because the tip of the finger is presented.,,Error: NFIQ2 computeUnifiedQualityScore returned an error code: Could not create feature set from raw data: FRFXLL_ERR_FB_TOO_SMALL_AREA: Fingerprint area is too small. Most likely this is because the tip of the finger is presented.,-3.0,,,
DB3_B,110_7.tif,17.0,,10.0,,,Error: NFIQ2 computeUnifiedQualityScore returned an error code: Could not create feature set from raw data: FRFXLL_ERR_FB_TOO_SMALL_AREA: Fingerprint area is too small. Most likely this is because the tip of the finger is presented.,,Error: NFIQ2 computeUnifiedQualityScore returned an error code: Could not create feature set from raw data: FRFXLL_ERR_FB_TOO_SMALL_AREA: Fingerprint area is too small. Most likely this is because the tip of the finger is presented.,-7.0,,,
DB3_B,110_8.tif,11.0,,14.0,,,Error: NFIQ2 computeUnifiedQualityScore returned an error code: Could not create feature set from raw data: FRFXLL_ERR_FB_TOO_SMALL_AREA: Fingerprint area is too small. Most likely this is because the tip of the finger is presented.,,Error: NFIQ2 computeUnifiedQualityScore returned an error code: Could not create feature set from raw data: FRFXLL_ERR_FB_TOO_SMALL_AREA: Fingerprint area is too small. Most likely this is because the tip of the finger is presented.,3.0,,,
DB4_B,101_1.tif,39.0,,43.0,,37.0,,39.0,,4.0,-6.0,2.0,0.0
DB4_B,101_2.tif,39.0,,37.0,,41.0,,47.0,,-2.0,4.0,6.0,8.0
DB4_B,101_3.tif,42.0,,48.0,,55.0,,53.0,,6.0,7.0,-2.0,11.0
DB4_B,101_4.tif,50.0,,55.0,,54.0,,48.0,,5.0,-1.0,-6.0,-2.0
DB4_B,101_5.tif,37.0,,30.0,,48.0,,39.0,,-7.0,18.0,-9.0,2.0
DB4_B,101_6.tif,37.0,,48.0,,66.0,,51.0,,11.0,18.0,-15.0,14.0
DB4_B,101_7.tif,37.0,,34.0,,34.0,,36.0,,-3.0,0.0,2.0,-1.0
DB4_B,101_8.tif,35.0,,33.0,,42.0,,32.0,,-2.0,9.0,-10.0,-3.0
DB4_B,102_1.tif,44.0,,49.0,,66.0,,52.0,,5.0,17.0,-14.0,8.0
DB4_B,102_2.tif,42.0,,49.0,,55.0,,56.0,,7.0,6.0,1.0,14.0
DB4_B,102_3.tif,27.0,,34.0,,48.0,,52.0,,7.0,14.0,4.0,25.0
DB4_B,102_4.tif,38.0,,44.0,,61.0,,51.0,,6.0,17.0,-10.0,13.0
DB4_B,102_5.tif,29.0,,45.0,,44.0,,59.0,,16.0,-1.0,15.0,30.0
DB4_B,102_6.tif,46.0,,51.0,,54.0,,37.0,,5.0,3.0,-17.0,-9.0
DB4_B,102_7.tif,31.0,,36.0,,56.0,,62.0,,5.0,20.0,6.0,31.0
DB4_B,102_8.tif,51.0,,45.0,,56.0,,39.0,,-6.0,11.0,-17.0,-12.0
DB4_B,103_1.tif,44.0,,39.0,,47.0,,52.0,,-5.0,8.0,5.0,8.0
DB4_B,103_2.tif,43.0,,46.0,,45.0,,45.0,,3.0,-1.0,0.0,2.0
DB4_B,103_3.tif,46.0,,44.0,,50.0,,48.0,,-2.0,6.0,-2.0,2.0
DB4_B,103_4.tif,34.0,,44.0,,50.0,,47.0,,10.0,6.0,-3.0,13.0
DB4_B,103_5.tif,44.0,,42.0,,40.0,,54.0,,-2.0,-2.0,14.0,10.0
DB4_B,103_6.tif,38.0,,42.0,,48.0,,53.0,,4.0,6.0,5.0,15.0
DB4_B,103_7.tif,43.0,,40.0,,52.0,,46.0,,-3.0,12.0,-6.0,3.0
DB4_B,103_8.tif,39.0,,42.0,,40.0,,48.0,,3.0,-2.0,8.0,9.0
DB4_B,104_1.tif,20.0,,38.0,,40.0,,40.0,,18.0,2.0,0.0,20.0
DB4_B,104_2.tif,40.0,,35.0,,48.0,,66.0,,-5.0,13.0,18.0,26.0
DB4_B,104_3.tif,46.0,,45.0,,39.0,,50.0,,-1.0,-6.0,11.0,4.0
DB4_B,104_4.tif,45.0,,40.0,,37.0,,43.0,,-5.0,-3.0,6.0,-2.0
DB4_B,104_5.tif,46.0,,39.0,,37.0,,43.0,,-7.0,-2.0,6.0,-3.0
DB4_B,104_6.tif,31.0,,32.0,,49.0,,56.0,,1.0,17.0,7.0,25.0
DB4_B,104_7.tif,33.0,,38.0,,45.0,,47.0,,5.0,7.0,2.0,14.0
DB4_B,104_8.tif,36.0,,37.0,,28.0,,49.0,,1.0,-9.0,21.0,13.0
DB4_B,105_1.tif,19.0,,15.0,,38.0,,44.0,,-4.0,23.0,6.0,25.0
DB4_B,105_2.tif,24.0,,44.0,,51.0,,39.0,,20.0,7.0,-12.0,15.0
DB4_B,105_3.tif,29.0,,33.0,,45.0,,48.0,,4.0,12.0,3.0,19.0
DB4_B,105_4.tif,27.0,,34.0,,48.0,,41.0,,7.0,14.0,-7.0,14.0
DB4_B,105_5.tif,33.0,,38.0,,50.0,,36.0,,5.0,12.0,-14.0,3.0
DB4_B,105_6.tif,26.0,,44.0,,54.0,,53.0,,18.0,10.0,-1.0,27.0
DB4_B,105_7.tif,29.0,,30.0,,57.0,,48.0,,1.0,27.0,-9.0,19.0
DB4_B,105_8.tif,30.0,,37.0,,54.0,,54.0,,7.0,17.0,0.0,24.0
DB4_B,106_1.tif,14.0,,30.0,,25.0,,35.0,,16.0,-5.0,10.0,21.0
DB4_B,106_2.tif,24.0,,39.0,,38.0,,37.0,,15.0,-1.0,-1.0,13.0
DB4_B,106_3.tif,24.0,,39.0,,45.0,,46.0,,15.0,6.0,1.0,22.0
DB4_B,106_4.tif,37.0,,35.0,,49.0,,52.0,,-2.0,14.0,3.0,15.0
DB4_B,106_5.tif,19.0,,28.0,,43.0,,50.0,,9.0,15.0,7.0,31.0
DB4_B,106_6.tif,23.0,,35.0,,45.0,,41.0,,12.0,10.0,-4.0,18.0
DB4_B,106_7.tif,26.0,,41.0,,34.0,,35.0,,15.0,-7.0,1.0,9.0
DB4_B,106_8.tif,28.0,,32.0,,32.0,,42.0,,4.0,0.0,10.0,14.0
DB4_B,107_1.tif,31.0,,37.0,,63.0,,65.0,,6.0,26.0,2.0,34.0
DB4_B,107_2.tif,33.0,,33.0,,54.0,,55.0,,0.0,21.0,1.0,22.0
DB4_B,107_3.tif,32.0,,44.0,,42.0,,44.0,,12.0,-2.0,2.0,12.0
DB4_B,107_4.tif,26.0,,39.0,,45.0,,46.0,,13.0,6.0,1.0,20.0
DB4_B,107_5.tif,46.0,,42.0,,55.0,,58.0,,-4.0,13.0,3.0,12.0
DB4_B,107_6.tif,47.0,,47.0,,63.0,,64.0,,0.0,16.0,1.0,17.0
DB4_B,107_7.tif,18.0,,38.0,,28.0,,29.0,,20.0,-10.0,1.0,11.0
DB4_B,107_8.tif,18.0,,31.0,,39.0,,50.0,,13.0,8.0,11.0,32.0
DB4_B,108_1.tif,31.0,,31.0,,46.0,,41.0,,0.0,15.0,-5.0,10.0
DB4_B,108_2.tif,23.0,,24.0,,38.0,,34.0,,1.0,14.0,-4.0,11.0
DB4_B,108_3.tif,8.0,,16.0,,15.0,,17.0,,8.0,-1.0,2.0,9.0
DB4_B,108_4.tif,26.0,,41.0,,48.0,,45.0,,15.0,7.0,-3.0,19.0
DB4_B,108_5.tif,11.0,,15.0,,23.0,,29.0,,4.0,8.0,6.0,18.0
DB4_B,108_6.tif,5.0,,22.0,,9.0,,17.0,,17.0,-13.0,8.0,12.0
DB4_B,108_7.tif,28.0,,35.0,,44.0,,43.0,,7.0,9.0,-1.0,15.0
DB4_B,108_8.tif,43.0,,31.0,,32.0,,37.0,,-12.0,1.0,5.0,-6.0
DB4_B,109_1.tif,12.0,,20.0,,19.0,,32.0,,8.0,-1.0,13.0,20.0
DB4_B,109_2.tif,19.0,,16.0,,34.0,,32.0,,-3.0,18.0,-2.0,13.0
DB4_B,109_3.tif,24.0,,32.0,,42.0,,45.0,,8.0,10.0,3.0,21.0
DB4_B,109_4.tif,5.0,,14.0,,14.0,,15.0,,9.0,0.0,1.0,10.0
DB4_B,109_5.tif,24.0,,40.0,,45.0,,49.0,,16.0,5.0,4.0,25.0
DB4_B,109_6.tif,9.0,,6.0,,10.0,,18.0,,-3.0,4.0,8.0,9.0
DB4_B,109_7.tif,14.0,,16.0,,11.0,,17.0,,2.0,-5.0,6.0,3.0
DB4_B,109_8.tif,31.0,,36.0,,44.0,,42.0,,5.0,8.0,-2.0,11.0
DB4_B,110_1.tif,5.0,,7.0,,,Error: NFIQ2 computeUnifiedQualityScore returned an error code: Could not create feature set from raw data: FRFXLL_ERR_FB_TOO_SMALL_AREA: Fingerprint area is too small. Most likely this is because the tip of the finger is presented.,10.0,,2.0,,,5.0
DB4_B,110_2.tif,12.0,,10.0,,20.0,,20.0,,-2.0,10.0,0.0,8.0
DB4_B,110_3.tif,3.0,,6.0,,15.0,,13.0,,3.0,9.0,-2.0,10.0
DB4_B,110_4.tif,3.0,,2.0,,5.0,,11.0,,-1.0,3.0,6.0,8.0
DB4_B,110_5.tif,5.0,,6.0,,,Error: NFIQ2 computeUnifiedQualityScore returned an error code: Could not create feature set from raw data: FRFXLL_ERR_FB_TOO_SMALL_AREA: Fingerprint area is too small. Most likely this is because the tip of the finger is presented.,25.0,,1.0,,,20.0
DB4_B,110_6.tif,8.0,,20.0,,12.0,,17.0,,12.0,-8.0,5.0,9.0
DB4_B,110_7.tif,15.0,,32.0,,32.0,,39.0,,17.0,0.0,7.0,24.0
DB4_B,110_8.tif,22.0,,38.0,,36.0,,47.0,,16.0,-2.0,11.0,25.0
