variant,db,file,raw_nfiq2,raw_error,final_nfiq2,final_error,delta_final
v2a_minus_p2,DB1_B,102_5.tif,49.0,,50.0,,1.0
v2a_minus_p6,DB1_B,102_5.tif,49.0,,53.0,,4.0
v2b_minus_p1,DB1_B,102_5.tif,49.0,,50.0,,1.0
v2b_minus_p2,DB1_B,102_5.tif,49.0,,44.0,,-5.0
v2b_minus_p6,DB1_B,102_5.tif,49.0,,50.0,,1.0
v2a_minus_p1,DB1_B,102_6.tif,87.0,,59.0,,-28.0
v2a_minus_p2,DB1_B,102_6.tif,87.0,,55.0,,-32.0
v2a_minus_p6,DB1_B,102_6.tif,87.0,,67.0,,-20.0
v2b_minus_p1,DB1_B,102_6.tif,87.0,,75.0,,-12.0
v2b_minus_p2,DB1_B,102_6.tif,87.0,,67.0,,-20.0
v2b_minus_p6,DB1_B,102_6.tif,87.0,,87.0,,0.0
v2a_minus_p1,DB1_B,102_7.tif,31.0,,44.0,,13.0
v2a_minus_p2,DB1_B,102_7.tif,31.0,,43.0,,12.0
v2a_minus_p6,DB1_B,102_7.tif,31.0,,47.0,,16.0
v2b_minus_p1,DB1_B,102_7.tif,31.0,,51.0,,20.0
v2b_minus_p2,DB1_B,102_7.tif,31.0,,40.0,,9.0
v2b_minus_p6,DB1_B,102_7.tif,31.0,,39.0,,8.0
v2a_minus_p1,DB1_B,102_8.tif,47.0,,50.0,,3.0
v2a_minus_p2,DB1_B,102_8.tif,47.0,,36.0,,-11.0
v2a_minus_p6,DB1_B,102_8.tif,47.0,,38.0,,-9.0
v2b_minus_p1,DB1_B,102_8.tif,47.0,,41.0,,-6.0
v2b_minus_p2,DB1_B,102_8.tif,47.0,,44.0,,-3.0
v2b_minus_p6,DB1_B,102_8.tif,47.0,,48.0,,1.0
v2a_minus_p1,DB1_B,103_1.tif,62.0,,65.0,,3.0
v2a_minus_p2,DB1_B,103_1.tif,62.0,,52.0,,-10.0
v2a_minus_p6,DB1_B,103_1.tif,62.0,,49.0,,-13.0
v2b_minus_p1,DB1_B,103_1.tif,62.0,,72.0,,10.0
v2b_minus_p2,DB1_B,103_1.tif,62.0,,68.0,,6.0
v2b_minus_p6,DB1_B,103_1.tif,62.0,,70.0,,8.0
v2a_minus_p1,DB1_B,103_2.tif,67.0,,61.0,,-6.0
v2a_minus_p2,DB1_B,103_2.tif,67.0,,54.0,,-13.0
v2a_minus_p6,DB1_B,103_2.tif,67.0,,50.0,,-17.0
v2b_minus_p1,DB1_B,103_2.tif,67.0,,60.0,,-7.0
v2b_minus_p2,DB1_B,103_2.tif,67.0,,63.0,,-4.0
v2b_minus_p6,DB1_B,103_2.tif,67.0,,62.0,,-5.0
v2a_minus_p1,DB1_B,103_3.tif,70.0,,72.0,,2.0
v2a_minus_p2,DB1_B,103_3.tif,70.0,,63.0,,-7.0
v2a_minus_p6,DB1_B,103_3.tif,70.0,,60.0,,-10.0
v2b_minus_p1,DB1_B,103_3.tif,70.0,,66.0,,-4.0
v2b_minus_p2,DB1_B,103_3.tif,70.0,,65.0,,-5.0
v2b_minus_p6,DB1_B,103_3.tif,70.0,,69.0,,-1.0
v2a_minus_p1,DB1_B,103_4.tif,31.0,,40.0,,9.0
v2a_minus_p2,DB1_B,103_4.tif,31.0,,33.0,,2.0
v2a_minus_p6,DB1_B,103_4.tif,31.0,,35.0,,4.0
v2b_minus_p1,DB1_B,103_4.tif,31.0,,34.0,,3.0
v2b_minus_p2,DB1_B,103_4.tif,31.0,,43.0,,12.0
v2b_minus_p6,DB1_B,103_4.tif,31.0,,36.0,,5.0
v2a_minus_p1,DB1_B,103_5.tif,67.0,,63.0,,-4.0
v2a_minus_p2,DB1_B,103_5.tif,67.0,,60.0,,-7.0
v2a_minus_p6,DB1_B,103_5.tif,67.0,,53.0,,-14.0
v2b_minus_p1,DB1_B,103_5.tif,67.0,,62.0,,-5.0
v2b_minus_p2,DB1_B,103_5.tif,67.0,,65.0,,-2.0
