database,filename,relative_path,raw_nfiq2,stage1_p1_nfiq2,stage2_p1_p2_nfiq2,stage3_p1_p2_p6_nfiq2,delta_p1,delta_p2,delta_p6,delta_final,processing_status,error,raw_error,stage1_error,stage2_error,stage3_error,stage3_equals_enhance,shape,dtype,processing_seconds,scoring_seconds,total_seconds
DB1_B,104_1.tif,data/raw/DB1_B/104_1.tif,79.0,85.0,82.0,87.0,6.0,-3.0,5.0,8.0,success,,,,,,True,374x388,uint8,0.08715790000132984,1.5961842000033357,1.6843682000035187
DB1_B,104_2.tif,data/raw/DB1_B/104_2.tif,74.0,74.0,75.0,85.0,0.0,1.0,10.0,11.0,success,,,,,,True,374x388,uint8,0.08675510000466602,1.6244651999950293,1.7121418000024278
DB1_B,104_3.tif,data/raw/DB1_B/104_3.tif,74.0,82.0,81.0,69.0,8.0,-1.0,-12.0,-5.0,success,,,,,,True,374x388,uint8,0.10411800000292715,1.6021860999971977,1.7076013999976567
DB1_B,104_4.tif,data/raw/DB1_B/104_4.tif,73.0,82.0,88.0,86.0,9.0,6.0,-2.0,13.0,success,,,,,,True,374x388,uint8,0.08007969999744091,1.597853600003873,1.6788933999996516
DB1_B,104_5.tif,data/raw/DB1_B/104_5.tif,66.0,73.0,69.0,71.0,7.0,-4.0,2.0,5.0,success,,,,,,True,374x388,uint8,0.079939999995986,1.5677250999942771,1.6486270999957924
DB1_B,104_6.tif,data/raw/DB1_B/104_6.tif,63.0,73.0,74.0,67.0,10.0,1.0,-7.0,4.0,success,,,,,,True,374x388,uint8,0.08033769999747165,1.624632200000633,1.7059564000010141
DB1_B,104_7.tif,data/raw/DB1_B/104_7.tif,76.0,66.0,68.0,69.0,-10.0,2.0,1.0,-7.0,success,,,,,,True,374x388,uint8,0.08380300000135321,1.674051399997552,1.7591314000019338
DB1_B,104_8.tif,data/raw/DB1_B/104_8.tif,69.0,64.0,67.0,71.0,-5.0,3.0,4.0,2.0,success,,,,,,True,374x388,uint8,0.0935749999989639,1.6531847000005655,1.7476648000010755
DB1_B,105_1.tif,data/raw/DB1_B/105_1.tif,48.0,51.0,51.0,43.0,3.0,0.0,-8.0,-5.0,success,,,,,,True,374x388,uint8,0.0809640000006766,1.6255836000054842,1.7075576999995974
DB1_B,105_2.tif,data/raw/DB1_B/105_2.tif,80.0,78.0,78.0,77.0,-2.0,0.0,-1.0,-3.0,success,,,,,,True,374x388,uint8,0.07592479999584612,1.6210591999988537,1.6979405000020051
DB1_B,105_3.tif,data/raw/DB1_B/105_3.tif,77.0,75.0,76.0,75.0,-2.0,1.0,-1.0,-2.0,success,,,,,,True,374x388,uint8,0.0842354999986128,1.6002269000018714,1.685681899994961
DB1_B,105_4.tif,data/raw/DB1_B/105_4.tif,55.0,57.0,54.0,57.0,2.0,-3.0,3.0,2.0,success,,,,,,True,374x388,uint8,0.07703200000105426,1.600173899998481,1.6785376999978325
DB1_B,105_5.tif,data/raw/DB1_B/105_5.tif,64.0,59.0,64.0,64.0,-5.0,5.0,0.0,0.0,success,,,,,,True,374x388,uint8,0.07627789999969536,1.6310530999980983,1.7079354000015883
DB1_B,105_6.tif,data/raw/DB1_B/105_6.tif,50.0,46.0,47.0,43.0,-4.0,1.0,-4.0,-7.0,success,,,,,,True,374x388,uint8,0.07435560000158148,1.5879401999991387,1.6632905999940704
DB1_B,105_7.tif,data/raw/DB1_B/105_7.tif,73.0,78.0,73.0,71.0,5.0,-5.0,-2.0,-2.0,success,,,,,,True,374x388,uint8,0.0825810999958776,1.6363483000022825,1.7200505000000703
DB1_B,105_8.tif,data/raw/DB1_B/105_8.tif,64.0,50.0,49.0,55.0,-14.0,-1.0,6.0,-9.0,success,,,,,,True,374x388,uint8,0.0893928999939817,1.7064080999989528,1.7973789000025135
DB1_B,106_1.tif,data/raw/DB1_B/106_1.tif,81.0,80.0,80.0,74.0,-1.0,0.0,-6.0,-7.0,success,,,,,,True,374x388,uint8,0.09038689999579219,1.7029081999935443,1.7943402000018978
DB1_B,106_2.tif,data/raw/DB1_B/106_2.tif,73.0,81.0,81.0,89.0,8.0,0.0,8.0,16.0,success,,,,,,True,374x388,uint8,0.08343479999894043,1.6501913000029163,1.7355798999997205
