variant,db,file,raw_nfiq2,raw_error,final_nfiq2,final_error,delta_final
minus_p2,DB1_B,104_4.tif,73.0,,64.0,,-9.0
minus_p6,DB1_B,104_4.tif,73.0,,52.0,,-21.0
minus_p1,DB1_B,104_5.tif,66.0,,57.0,,-9.0
minus_p2,DB1_B,104_5.tif,66.0,,71.0,,5.0
minus_p6,DB1_B,104_5.tif,66.0,,54.0,,-12.0
minus_p1,DB1_B,104_6.tif,63.0,,65.0,,2.0
minus_p2,DB1_B,104_6.tif,63.0,,58.0,,-5.0
minus_p6,DB1_B,104_6.tif,63.0,,51.0,,-12.0
minus_p1,DB1_B,104_7.tif,76.0,,57.0,,-19.0
minus_p2,DB1_B,104_7.tif,76.0,,65.0,,-11.0
minus_p6,DB1_B,104_7.tif,76.0,,61.0,,-15.0
minus_p1,DB1_B,104_8.tif,69.0,,66.0,,-3.0
minus_p2,DB1_B,104_8.tif,69.0,,64.0,,-5.0
minus_p6,DB1_B,104_8.tif,69.0,,56.0,,-13.0
minus_p1,DB1_B,105_1.tif,48.0,,51.0,,3.0
minus_p2,DB1_B,105_1.tif,48.0,,54.0,,6.0
minus_p6,DB1_B,105_1.tif,48.0,,44.0,,-4.0
minus_p1,DB1_B,105_2.tif,80.0,,73.0,,-7.0
minus_p2,DB1_B,105_2.tif,80.0,,72.0,,-8.0
minus_p6,DB1_B,105_2.tif,80.0,,55.0,,-25.0
minus_p1,DB1_B,105_3.tif,77.0,,62.0,,-15.0
minus_p2,DB1_B,105_3.tif,77.0,,64.0,,-13.0
minus_p6,DB1_B,105_3.tif,77.0,,68.0,,-9.0
minus_p1,DB1_B,105_4.tif,55.0,,45.0,,-10.0
minus_p2,DB1_B,105_4.tif,55.0,,54.0,,-1.0
minus_p6,DB1_B,105_4.tif,55.0,,56.0,,1.0
minus_p1,DB1_B,105_5.tif,64.0,,55.0,,-9.0
minus_p2,DB1_B,105_5.tif,64.0,,68.0,,4.0
minus_p6,DB1_B,105_5.tif,64.0,,51.0,,-13.0
minus_p1,DB1_B,105_6.tif,50.0,,42.0,,-8.0
minus_p2,DB1_B,105_6.tif,50.0,,29.0,,-21.0
minus_p6,DB1_B,105_6.tif,50.0,,36.0,,-14.0
minus_p1,DB1_B,105_7.tif,73.0,,56.0,,-17.0
minus_p2,DB1_B,105_7.tif,73.0,,64.0,,-9.0
minus_p6,DB1_B,105_7.tif,73.0,,59.0,,-14.0
minus_p1,DB1_B,105_8.tif,64.0,,45.0,,-19.0
minus_p2,DB1_B,105_8.tif,64.0,,46.0,,-18.0
