variant,db,file,raw_nfiq2,raw_error,stage1_nfiq2,stage1_error,stage2_nfiq2,stage2_error,stage3_nfiq2,stage3_error,delta_p1,delta_p2,delta_p6,delta_final
v2b,DB1_B,104_1.tif,79.0,,85.0,,82.0,,87.0,,6.0,-3.0,5.0,8.0
v2a,DB1_B,104_2.tif,74.0,,72.0,,62.0,,66.0,,-2.0,-10.0,4.0,-8.0
v2b,DB1_B,104_2.tif,74.0,,74.0,,75.0,,82.0,,0.0,1.0,7.0,8.0
v2a,DB1_B,104_3.tif,74.0,,57.0,,55.0,,57.0,,-17.0,-2.0,2.0,-17.0
v2b,DB1_B,104_3.tif,74.0,,82.0,,81.0,,76.0,,8.0,-1.0,-5.0,2.0
v2a,DB1_B,104_4.tif,73.0,,63.0,,52.0,,56.0,,-10.0,-11.0,4.0,-17.0
v2b,DB1_B,104_4.tif,73.0,,82.0,,88.0,,66.0,,9.0,6.0,-22.0,-7.0
v2a,DB1_B,104_5.tif,66.0,,71.0,,54.0,,53.0,,5.0,-17.0,-1.0,-13.0
v2b,DB1_B,104_5.tif,66.0,,73.0,,69.0,,75.0,,7.0,-4.0,6.0,9.0
v2a,DB1_B,104_6.tif,63.0,,49.0,,51.0,,63.0,,-14.0,2.0,12.0,0.0
v2b,DB1_B,104_6.tif,63.0,,73.0,,74.0,,73.0,,10.0,1.0,-1.0,10.0
v2a,DB1_B,104_7.tif,76.0,,73.0,,61.0,,56.0,,-3.0,-12.0,-5.0,-20.0
v2b,DB1_B,104_7.tif,76.0,,66.0,,68.0,,71.0,,-10.0,2.0,3.0,-5.0
v2a,DB1_B,104_8.tif,69.0,,56.0,,56.0,,48.0,,-13.0,0.0,-8.0,-21.0
v2b,DB1_B,104_8.tif,69.0,,64.0,,67.0,,75.0,,-5.0,3.0,8.0,6.0
v2a,DB1_B,105_1.tif,48.0,,49.0,,44.0,,43.0,,1.0,-5.0,-1.0,-5.0
v2b,DB1_B,105_1.tif,48.0,,51.0,,51.0,,52.0,,3.0,0.0,1.0,4.0
v2a,DB1_B,105_2.tif,80.0,,67.0,,55.0,,67.0,,-13.0,-12.0,12.0,-13.0
v2b,DB1_B,105_2.tif,80.0,,78.0,,78.0,,69.0,,-2.0,0.0,-9.0,-11.0
v2a,DB1_B,105_3.tif,77.0,,61.0,,68.0,,59.0,,-16.0,7.0,-9.0,-18.0
v2b,DB1_B,105_3.tif,77.0,,75.0,,76.0,,78.0,,-2.0,1.0,2.0,1.0
v2a,DB1_B,105_4.tif,55.0,,62.0,,56.0,,61.0,,7.0,-6.0,5.0,6.0
v2b,DB1_B,105_4.tif,55.0,,57.0,,54.0,,55.0,,2.0,-3.0,1.0,0.0
v2a,DB1_B,105_5.tif,64.0,,70.0,,51.0,,52.0,,6.0,-19.0,1.0,-12.0
v2b,DB1_B,105_5.tif,64.0,,59.0,,64.0,,64.0,,-5.0,5.0,0.0,0.0
v2a,DB1_B,105_6.tif,50.0,,41.0,,36.0,,35.0,,-9.0,-5.0,-1.0,-15.0
v2b,DB1_B,105_6.tif,50.0,,46.0,,47.0,,46.0,,-4.0,1.0,-1.0,-4.0
v2a,DB1_B,105_7.tif,73.0,,72.0,,59.0,,56.0,,-1.0,-13.0,-3.0,-17.0
v2b,DB1_B,105_7.tif,73.0,,78.0,,73.0,,69.0,,5.0,-5.0,-4.0,-4.0
v2a,DB1_B,105_8.tif,64.0,,43.0,,48.0,,53.0,,-21.0,5.0,5.0,-11.0
v2b,DB1_B,105_8.tif,64.0,,50.0,,49.0,,58.0,,-14.0,-1.0,9.0,-6.0
v2a,DB1_B,106_1.tif,81.0,,75.0,,65.0,,54.0,,-6.0,-10.0,-11.0,-27.0
v2b,DB1_B,106_1.tif,81.0,,80.0,,80.0,,72.0,,-1.0,0.0,-8.0,-9.0
v2a,DB1_B,106_2.tif,73.0,,78.0,,56.0,,43.0,,5.0,-22.0,-13.0,-30.0
v2b,DB1_B,106_2.tif,73.0,,81.0,,81.0,,76.0,,8.0,0.0,-5.0,3.0
v2a,DB1_B,106_3.tif,79.0,,74.0,,64.0,,56.0,,-5.0,-10.0,-8.0,-23.0
