variant,db,file,raw_nfiq2,raw_error,stage1_nfiq2,stage1_error,stage2_nfiq2,stage2_error,stage3_nfiq2,stage3_error,delta_p1,delta_p2,delta_p6,delta_final
v2b,DB2_B,106_3.tif,66.0,,68.0,,68.0,,74.0,,2.0,0.0,6.0,8.0
v2a,DB2_B,106_4.tif,52.0,,69.0,,69.0,,68.0,,17.0,0.0,-1.0,16.0
v2b,DB2_B,106_4.tif,52.0,,60.0,,60.0,,59.0,,8.0,0.0,-1.0,7.0
v2a,DB2_B,106_5.tif,55.0,,57.0,,61.0,,54.0,,2.0,4.0,-7.0,-1.0
v2b,DB2_B,106_5.tif,55.0,,52.0,,52.0,,58.0,,-3.0,0.0,6.0,3.0
v2a,DB2_B,106_6.tif,43.0,,53.0,,55.0,,60.0,,10.0,2.0,5.0,17.0
v2b,DB2_B,106_6.tif,43.0,,55.0,,55.0,,70.0,,12.0,0.0,15.0,27.0
v2a,DB2_B,106_7.tif,59.0,,56.0,,50.0,,50.0,,-3.0,-6.0,0.0,-9.0
v2b,DB2_B,106_7.tif,59.0,,47.0,,47.0,,39.0,,-12.0,0.0,-8.0,-20.0
v2a,DB2_B,106_8.tif,50.0,,72.0,,61.0,,62.0,,22.0,-11.0,1.0,12.0
v2b,DB2_B,106_8.tif,50.0,,65.0,,65.0,,68.0,,15.0,0.0,3.0,18.0
v2a,DB2_B,107_1.tif,36.0,,62.0,,62.0,,73.0,,26.0,0.0,11.0,37.0
v2b,DB2_B,107_1.tif,36.0,,52.0,,52.0,,63.0,,16.0,0.0,11.0,27.0
v2a,DB2_B,107_2.tif,64.0,,73.0,,79.0,,73.0,,9.0,6.0,-6.0,9.0
v2b,DB2_B,107_2.tif,64.0,,74.0,,74.0,,72.0,,10.0,0.0,-2.0,8.0
v2a,DB2_B,107_3.tif,74.0,,76.0,,84.0,,80.0,,2.0,8.0,-4.0,6.0
v2b,DB2_B,107_3.tif,74.0,,72.0,,72.0,,74.0,,-2.0,0.0,2.0,0.0
v2a,DB2_B,107_4.tif,64.0,,79.0,,89.0,,89.0,,15.0,10.0,0.0,25.0
v2b,DB2_B,107_4.tif,64.0,,76.0,,76.0,,75.0,,12.0,0.0,-1.0,11.0
v2a,DB2_B,107_5.tif,34.0,,64.0,,62.0,,68.0,,30.0,-2.0,6.0,34.0
v2b,DB2_B,107_5.tif,34.0,,54.0,,54.0,,66.0,,20.0,0.0,12.0,32.0
v2a,DB2_B,107_6.tif,33.0,,59.0,,52.0,,46.0,,26.0,-7.0,-6.0,13.0
v2b,DB2_B,107_6.tif,33.0,,44.0,,44.0,,55.0,,11.0,0.0,11.0,22.0
v2a,DB2_B,107_7.tif,53.0,,76.0,,68.0,,69.0,,23.0,-8.0,1.0,16.0
v2b,DB2_B,107_7.tif,53.0,,72.0,,72.0,,79.0,,19.0,0.0,7.0,26.0
v2a,DB2_B,107_8.tif,66.0,,72.0,,64.0,,69.0,,6.0,-8.0,5.0,3.0
v2b,DB2_B,107_8.tif,66.0,,65.0,,65.0,,71.0,,-1.0,0.0,6.0,5.0
v2a,DB2_B,108_1.tif,61.0,,66.0,,61.0,,54.0,,5.0,-5.0,-7.0,-7.0
v2b,DB2_B,108_1.tif,61.0,,71.0,,71.0,,69.0,,10.0,0.0,-2.0,8.0
v2a,DB2_B,108_2.tif,58.0,,70.0,,69.0,,60.0,,12.0,-1.0,-9.0,2.0
v2b,DB2_B,108_2.tif,58.0,,74.0,,74.0,,70.0,,16.0,0.0,-4.0,12.0
v2a,DB2_B,108_3.tif,46.0,,51.0,,56.0,,68.0,,5.0,5.0,12.0,22.0
v2b,DB2_B,108_3.tif,46.0,,53.0,,53.0,,64.0,,7.0,0.0,11.0,18.0
v2a,DB2_B,108_4.tif,55.0,,71.0,,66.0,,67.0,,16.0,-5.0,1.0,12.0
v2b,DB2_B,108_4.tif,55.0,,63.0,,63.0,,60.0,,8.0,0.0,-3.0,5.0
v2a,DB2_B,108_5.tif,52.0,,61.0,,70.0,,67.0,,9.0,9.0,-3.0,15.0
v2b,DB2_B,108_5.tif,52.0,,56.0,,56.0,,63.0,,4.0,0.0,7.0,11.0
v2a,DB2_B,108_6.tif,58.0,,63.0,,59.0,,55.0,,5.0,-4.0,-4.0,-3.0
v2b,DB2_B,108_6.tif,58.0,,67.0,,67.0,,70.0,,9.0,0.0,3.0,12.0
v2a,DB2_B,108_7.tif,68.0,,69.0,,71.0,,61.0,,1.0,2.0,-10.0,-7.0
v2b,DB2_B,108_7.tif,68.0,,67.0,,67.0,,65.0,,-1.0,0.0,-2.0,-3.0
v2a,DB2_B,108_8.tif,35.0,,61.0,,59.0,,66.0,,26.0,-2.0,7.0,31.0
v2b,DB2_B,108_8.tif,35.0,,48.0,,48.0,,61.0,,13.0,0.0,13.0,26.0
v2a,DB2_B,109_1.tif,32.0,,37.0,,39.0,,45.0,,5.0,2.0,6.0,13.0
v2b,DB2_B,109_1.tif,32.0,,51.0,,51.0,,51.0,,19.0,0.0,0.0,19.0
v2a,DB2_B,109_2.tif,47.0,,55.0,,55.0,,64.0,,8.0,0.0,9.0,17.0
v2b,DB2_B,109_2.tif,47.0,,62.0,,62.0,,66.0,,15.0,0.0,4.0,19.0
v2a,DB2_B,109_3.tif,48.0,,47.0,,46.0,,45.0,,-1.0,-1.0,-1.0,-3.0
v2b,DB2_B,109_3.tif,48.0,,51.0,,53.0,,52.0,,3.0,2.0,-1.0,4.0
v2a,DB2_B,109_4.tif,41.0,,44.0,,44.0,,44.0,,3.0,0.0,0.0,3.0
v2b,DB2_B,109_4.tif,41.0,,51.0,,51.0,,52.0,,10.0,0.0,1.0,11.0
v2a,DB2_B,109_5.tif,52.0,,46.0,,39.0,,39.0,,-6.0,-7.0,0.0,-13.0
v2b,DB2_B,109_5.tif,52.0,,41.0,,41.0,,47.0,,-11.0,0.0,6.0,-5.0
v2a,DB2_B,109_6.tif,17.0,,24.0,,52.0,,50.0,,7.0,28.0,-2.0,33.0
v2b,DB2_B,109_6.tif,17.0,,32.0,,32.0,,49.0,,15.0,0.0,17.0,32.0
v2a,DB2_B,109_7.tif,21.0,,46.0,,53.0,,56.0,,25.0,7.0,3.0,35.0
v2b,DB2_B,109_7.tif,21.0,,45.0,,45.0,,54.0,,24.0,0.0,9.0,33.0
v2a,DB2_B,109_8.tif,9.0,,15.0,,26.0,,36.0,,6.0,11.0,10.0,27.0
v2b,DB2_B,109_8.tif,9.0,,7.0,,7.0,,8.0,,-2.0,0.0,1.0,-1.0
v2a,DB2_B,110_1.tif,47.0,,66.0,,61.0,,61.0,,19.0,-5.0,0.0,14.0
v2b,DB2_B,110_1.tif,47.0,,59.0,,59.0,,63.0,,12.0,0.0,4.0,16.0
v2a,DB2_B,110_2.tif,43.0,,57.0,,54.0,,64.0,,14.0,-3.0,10.0,21.0
v2b,DB2_B,110_2.tif,43.0,,51.0,,50.0,,69.0,,8.0,-1.0,19.0,26.0
v2a,DB2_B,110_3.tif,33.0,,67.0,,58.0,,63.0,,34.0,-9.0,5.0,30.0
v2b,DB2_B,110_3.tif,33.0,,51.0,,51.0,,62.0,,18.0,0.0,11.0,29.0
v2a,DB2_B,110_4.tif,30.0,,41.0,,60.0,,55.0,,11.0,19.0,-5.0,25.0
v2b,DB2_B,110_4.tif,30.0,,31.0,,34.0,,41.0,,1.0,3.0,7.0,11.0
v2a,DB2_B,110_5.tif,33.0,,38.0,,44.0,,44.0,,5.0,6.0,0.0,11.0
v2b,DB2_B,110_5.tif,33.0,,33.0,,33.0,,39.0,,0.0,0.0,6.0,6.0
v2a,DB2_B,110_6.tif,24.0,,31.0,,48.0,,43.0,,7.0,17.0,-5.0,19.0
v2b,DB2_B,110_6.tif,24.0,,19.0,,20.0,,36.0,,-5.0,1.0,16.0,12.0
v2a,DB2_B,110_7.tif,26.0,,71.0,,77.0,,80.0,,45.0,6.0,3.0,54.0
v2b,DB2_B,110_7.tif,26.0,,34.0,,32.0,,62.0,,8.0,-2.0,30.0,36.0
v2a,DB2_B,110_8.tif,10.0,,20.0,,44.0,,53.0,,10.0,24.0,9.0,43.0
v2b,DB2_B,110_8.tif,10.0,,13.0,,12.0,,28.0,,3.0,-1.0,16.0,18.0
v2a,DB3_B,101_1.tif,40.0,,39.0,,56.0,,54.0,,-1.0,17.0,-2.0,14.0
v2b,DB3_B,101_1.tif,40.0,,40.0,,39.0,,55.0,,0.0,-1.0,16.0,15.0
v2a,DB3_B,101_2.tif,32.0,,37.0,,55.0,,51.0,,5.0,18.0,-4.0,19.0
v2b,DB3_B,101_2.tif,32.0,,48.0,,42.0,,43.0,,16.0,-6.0,1.0,11.0
v2a,DB3_B,101_3.tif,38.0,,50.0,,65.0,,75.0,,12.0,15.0,10.0,37.0
v2b,DB3_B,101_3.tif,38.0,,41.0,,34.0,,55.0,,3.0,-7.0,21.0,17.0
v2a,DB3_B,101_4.tif,17.0,,40.0,,54.0,,55.0,,23.0,14.0,1.0,38.0
v2b,DB3_B,101_4.tif,17.0,,33.0,,38.0,,44.0,,16.0,5.0,6.0,27.0
v2a,DB3_B,101_5.tif,42.0,,35.0,,38.0,,47.0,,-7.0,3.0,9.0,5.0
v2b,DB3_B,101_5.tif,42.0,,42.0,,42.0,,52.0,,0.0,0.0,10.0,10.0
v2a,DB3_B,101_6.tif,38.0,,43.0,,46.0,,52.0,,5.0,3.0,6.0,14.0
v2b,DB3_B,101_6.tif,38.0,,35.0,,37.0,,45.0,,-3.0,2.0,8.0,7.0
v2a,DB3_B,101_7.tif,30.0,,29.0,,48.0,,49.0,,-1.0,19.0,1.0,19.0
v2b,DB3_B,101_7.tif,30.0,,38.0,,41.0,,49.0,,8.0,3.0,8.0,19.0
v2a,DB3_B,101_8.tif,20.0,,28.0,,55.0,,61.0,,8.0,27.0,6.0,41.0
v2b,DB3_B,101_8.tif,20.0,,31.0,,32.0,,41.0,,11.0,1.0,9.0,21.0
v2a,DB3_B,102_1.tif,21.0,,36.0,,65.0,,68.0,,15.0,29.0,3.0,47.0
v2b,DB3_B,102_1.tif,21.0,,37.0,,44.0,,47.0,,16.0,7.0,3.0,26.0
v2a,DB3_B,102_2.tif,19.0,,38.0,,44.0,,48.0,,19.0,6.0,4.0,29.0
v2b,DB3_B,102_2.tif,19.0,,39.0,,42.0,,44.0,,20.0,3.0,2.0,25.0
v2a,DB3_B,102_3.tif,21.0,,43.0,,61.0,,51.0,,22.0,18.0,-10.0,30.0
v2b,DB3_B,102_3.tif,21.0,,30.0,,37.0,,43.0,,9.0,7.0,6.0,22.0
v2a,DB3_B,102_4.tif,26.0,,42.0,,69.0,,76.0,,16.0,27.0,7.0,50.0
v2b,DB3_B,102_4.tif,26.0,,33.0,,40.0,,46.0,,7.0,7.0,6.0,20.0
v2a,DB3_B,102_5.tif,44.0,,43.0,,47.0,,60.0,,-1.0,4.0,13.0,16.0
v2b,DB3_B,102_5.tif,44.0,,53.0,,43.0,,54.0,,9.0,-10.0,11.0,10.0
v2a,DB3_B,102_6.tif,45.0,,48.0,,67.0,,64.0,,3.0,19.0,-3.0,19.0
v2b,DB3_B,102_6.tif,45.0,,65.0,,60.0,,60.0,,20.0,-5.0,0.0,15.0
v2a,DB3_B,102_7.tif,12.0,,17.0,,50.0,,62.0,,5.0,33.0,12.0,50.0
v2b,DB3_B,102_7.tif,12.0,,29.0,,28.0,,36.0,,17.0,-1.0,8.0,24.0
v2a,DB3_B,102_8.tif,15.0,,28.0,,55.0,,58.0,,13.0,27.0,3.0,43.0
v2b,DB3_B,102_8.tif,15.0,,28.0,,35.0,,42.0,,13.0,7.0,7.0,27.0
v2a,DB3_B,103_1.tif,30.0,,44.0,,57.0,,51.0,,14.0,13.0,-6.0,21.0
v2b,DB3_B,103_1.tif,30.0,,44.0,,42.0,,54.0,,14.0,-2.0,12.0,24.0
v2a,DB3_B,103_2.tif,28.0,,49.0,,50.0,,53.0,,21.0,1.0,3.0,25.0
v2b,DB3_B,103_2.tif,28.0,,35.0,,36.0,,53.0,,7.0,1.0,17.0,25.0
v2a,DB3_B,103_3.tif,36.0,,39.0,,47.0,,48.0,,3.0,8.0,1.0,12.0
v2b,DB3_B,103_3.tif,36.0,,37.0,,49.0,,52.0,,1.0,12.0,3.0,16.0
v2a,DB3_B,103_4.tif,52.0,,50.0,,66.0,,67.0,,-2.0,16.0,1.0,15.0
v2b,DB3_B,103_4.tif,52.0,,64.0,,51.0,,62.0,,12.0,-13.0,11.0,10.0
v2a,DB3_B,103_5.tif,38.0,,38.0,,50.0,,53.0,,0.0,12.0,3.0,15.0
v2b,DB3_B,103_5.tif,38.0,,30.0,,39.0,,49.0,,-8.0,9.0,10.0,11.0
v2a,DB3_B,103_6.tif,14.0,,32.0,,55.0,,51.0,,18.0,23.0,-4.0,37.0
v2b,DB3_B,103_6.tif,14.0,,37.0,,35.0,,56.0,,23.0,-2.0,21.0,42.0
v2a,DB3_B,103_7.tif,28.0,,31.0,,42.0,,46.0,,3.0,11.0,4.0,18.0
v2b,DB3_B,103_7.tif,28.0,,33.0,,34.0,,41.0,,5.0,1.0,7.0,13.0
v2a,DB3_B,103_8.tif,20.0,,24.0,,47.0,,44.0,,4.0,23.0,-3.0,24.0
v2b,DB3_B,103_8.tif,20.0,,27.0,,32.0,,34.0,,7.0,5.0,2.0,14.0
v2a,DB3_B,104_1.tif,34.0,,36.0,,37.0,,46.0,,2.0,1.0,9.0,12.0
v2b,DB3_B,104_1.tif,34.0,,49.0,,48.0,,57.0,,15.0,-1.0,9.0,23.0
v2a,DB3_B,104_2.tif,34.0,,33.0,,52.0,,47.0,,-1.0,19.0,-5.0,13.0
v2b,DB3_B,104_2.tif,34.0,,43.0,,56.0,,55.0,,9.0,13.0,-1.0,21.0
v2a,DB3_B,104_3.tif,19.0,,34.0,,35.0,,43.0,,15.0,1.0,8.0,24.0
v2b,DB3_B,104_3.tif,19.0,,40.0,,42.0,,52.0,,21.0,2.0,10.0,33.0
v2a,DB3_B,104_4.tif,18.0,,22.0,,43.0,,46.0,,4.0,21.0,3.0,28.0
v2b,DB3_B,104_4.tif,18.0,,14.0,,20.0,,30.0,,-4.0,6.0,10.0,12.0
v2a,DB3_B,104_5.tif,39.0,,52.0,,78.0,,81.0,,13.0,26.0,3.0,42.0
v2b,DB3_B,104_5.tif,39.0,,43.0,,48.0,,54.0,,4.0,5.0,6.0,15.0
v2a,DB3_B,104_6.tif,26.0,,42.0,,38.0,,45.0,,16.0,-4.0,7.0,19.0
v2b,DB3_B,104_6.tif,26.0,,32.0,,40.0,,52.0,,6.0,8.0,12.0,26.0
v2a,DB3_B,104_7.tif,23.0,,30.0,,39.0,,57.0,,7.0,9.0,18.0,34.0
v2b,DB3_B,104_7.tif,23.0,,39.0,,33.0,,41.0,,16.0,-6.0,8.0,18.0
v2a,DB3_B,104_8.tif,26.0,,28.0,,44.0,,39.0,,2.0,16.0,-5.0,13.0
v2b,DB3_B,104_8.tif,26.0,,27.0,,25.0,,43.0,,1.0,-2.0,18.0,17.0
v2a,DB3_B,105_1.tif,15.0,,35.0,,52.0,,42.0,,20.0,17.0,-10.0,27.0
v2b,DB3_B,105_1.tif,15.0,,22.0,,29.0,,38.0,,7.0,7.0,9.0,23.0
v2a,DB3_B,105_2.tif,20.0,,35.0,,39.0,,56.0,,15.0,4.0,17.0,36.0
v2b,DB3_B,105_2.tif,20.0,,23.0,,29.0,,29.0,,3.0,6.0,0.0,9.0
v2a,DB3_B,105_3.tif,18.0,,38.0,,58.0,,50.0,,20.0,20.0,-8.0,32.0
v2b,DB3_B,105_3.tif,18.0,,36.0,,37.0,,41.0,,18.0,1.0,4.0,23.0
v2a,DB3_B,105_4.tif,48.0,,45.0,,56.0,,52.0,,-3.0,11.0,-4.0,4.0
v2b,DB3_B,105_4.tif,48.0,,46.0,,47.0,,53.0,,-2.0,1.0,6.0,5.0
v2a,DB3_B,105_5.tif,35.0,,52.0,,53.0,,60.0,,17.0,1.0,7.0,25.0
v2b,DB3_B,105_5.tif,35.0,,42.0,,58.0,,58.0,,7.0,16.0,0.0,23.0
v2a,DB3_B,105_6.tif,33.0,,37.0,,59.0,,55.0,,4.0,22.0,-4.0,22.0
v2b,DB3_B,105_6.tif,33.0,,53.0,,52.0,,55.0,,20.0,-1.0,3.0,22.0
v2a,DB3_B,105_7.tif,32.0,,28.0,,42.0,,34.0,,-4.0,14.0,-8.0,2.0
v2b,DB3_B,105_7.tif,32.0,,37.0,,34.0,,40.0,,5.0,-3.0,6.0,8.0
v2a,DB3_B,105_8.tif,32.0,,31.0,,41.0,,46.0,,-1.0,10.0,5.0,14.0
v2b,DB3_B,105_8.tif,32.0,,33.0,,36.0,,45.0,,1.0,3.0,9.0,13.0
v2a,DB3_B,106_1.tif,34.0,,39.0,,52.0,,40.0,,5.0,13.0,-12.0,6.0
v2b,DB3_B,106_1.tif,34.0,,55.0,,54.0,,48.0,,21.0,-1.0,-6.0,14.0
v2a,DB3_B,106_2.tif,32.0,,30.0,,42.0,,42.0,,-2.0,12.0,0.0,10.0
v2b,DB3_B,106_2.tif,32.0,,39.0,,48.0,,50.0,,7.0,9.0,2.0,18.0
v2a,DB3_B,106_3.tif,29.0,,36.0,,40.0,,51.0,,7.0,4.0,11.0,22.0
v2b,DB3_B,106_3.tif,29.0,,41.0,,53.0,,49.0,,12.0,12.0,-4.0,20.0
v2a,DB3_B,106_4.tif,40.0,,30.0,,50.0,,46.0,,-10.0,20.0,-4.0,6.0
v2b,DB3_B,106_4.tif,40.0,,42.0,,58.0,,55.0,,2.0,16.0,-3.0,15.0
v2a,DB3_B,106_5.tif,19.0,,35.0,,46.0,,48.0,,16.0,11.0,2.0,29.0
v2b,DB3_B,106_5.tif,19.0,,27.0,,30.0,,27.0,,8.0,3.0,-3.0,8.0
v2a,DB3_B,106_6.tif,22.0,,22.0,,50.0,,40.0,,0.0,28.0,-10.0,18.0
v2b,DB3_B,106_6.tif,22.0,,24.0,,24.0,,32.0,,2.0,0.0,8.0,10.0
v2a,DB3_B,106_7.tif,14.0,,13.0,,37.0,,35.0,,-1.0,24.0,-2.0,21.0
v2b,DB3_B,106_7.tif,14.0,,9.0,,17.0,,16.0,,-5.0,8.0,-1.0,2.0
v2a,DB3_B,106_8.tif,9.0,,7.0,,26.0,,26.0,,-2.0,19.0,0.0,17.0
v2b,DB3_B,106_8.tif,9.0,,6.0,,4.0,,12.0,,-3.0,-2.0,8.0,3.0
v2a,DB3_B,107_1.tif,29.0,,32.0,,36.0,,41.0,,3.0,4.0,5.0,12.0
v2b,DB3_B,107_1.tif,29.0,,39.0,,45.0,,51.0,,10.0,6.0,6.0,22.0
v2a,DB3_B,107_2.tif,14.0,,32.0,,52.0,,47.0,,18.0,20.0,-5.0,33.0
v2b,DB3_B,107_2.tif,14.0,,23.0,,29.0,,42.0,,9.0,6.0,13.0,28.0
v2a,DB3_B,107_3.tif,16.0,,24.0,,52.0,,40.0,,8.0,28.0,-12.0,24.0
v2b,DB3_B,107_3.tif,16.0,,21.0,,30.0,,33.0,,5.0,9.0,3.0,17.0
v2a,DB3_B,107_4.tif,32.0,,29.0,,41.0,,52.0,,-3.0,12.0,11.0,20.0
v2b,DB3_B,107_4.tif,32.0,,42.0,,44.0,,54.0,,10.0,2.0,10.0,22.0
v2a,DB3_B,107_5.tif,26.0,,42.0,,54.0,,53.0,,16.0,12.0,-1.0,27.0
v2b,DB3_B,107_5.tif,26.0,,30.0,,33.0,,42.0,,4.0,3.0,9.0,16.0
v2a,DB3_B,107_6.tif,16.0,,43.0,,54.0,,54.0,,27.0,11.0,0.0,38.0
v2b,DB3_B,107_6.tif,16.0,,24.0,,23.0,,48.0,,8.0,-1.0,25.0,32.0
v2a,DB3_B,107_7.tif,12.0,,14.0,,31.0,,38.0,,2.0,17.0,7.0,26.0
v2b,DB3_B,107_7.tif,12.0,,21.0,,18.0,,20.0,,9.0,-3.0,2.0,8.0
v2a,DB3_B,107_8.tif,9.0,,13.0,,28.0,,32.0,,4.0,15.0,4.0,23.0
v2b,DB3_B,107_8.tif,9.0,,15.0,,16.0,,16.0,,6.0,1.0,0.0,7.0
v2a,DB3_B,108_1.tif,33.0,,18.0,,20.0,,25.0,,-15.0,2.0,5.0,-8.0
v2b,DB3_B,108_1.tif,33.0,,35.0,,45.0,,36.0,,2.0,10.0,-9.0,3.0
v2a,DB3_B,108_2.tif,24.0,,10.0,,22.0,,23.0,,-14.0,12.0,1.0,-1.0
v2b,DB3_B,108_2.tif,24.0,,21.0,,25.0,,25.0,,-3.0,4.0,0.0,1.0
v2a,DB3_B,108_3.tif,5.0,,12.0,,26.0,,22.0,,7.0,14.0,-4.0,17.0
v2b,DB3_B,108_3.tif,5.0,,11.0,,13.0,,22.0,,6.0,2.0,9.0,17.0
v2a,DB3_B,108_4.tif,9.0,,10.0,,17.0,,20.0,,1.0,7.0,3.0,11.0
v2b,DB3_B,108_4.tif,9.0,,12.0,,12.0,,20.0,,3.0,0.0,8.0,11.0
v2a,DB3_B,108_5.tif,27.0,,30.0,,46.0,,46.0,,3.0,16.0,0.0,19.0
v2b,DB3_B,108_5.tif,27.0,,31.0,,37.0,,51.0,,4.0,6.0,14.0,24.0
v2a,DB3_B,108_6.tif,37.0,,35.0,,29.0,,38.0,,-2.0,-6.0,9.0,1.0
v2b,DB3_B,108_6.tif,37.0,,31.0,,28.0,,39.0,,-6.0,-3.0,11.0,2.0
v2a,DB3_B,108_7.tif,18.0,,30.0,,45.0,,48.0,,12.0,15.0,3.0,30.0
v2b,DB3_B,108_7.tif,18.0,,37.0,,35.0,,36.0,,19.0,-2.0,1.0,18.0
v2a,DB3_B,108_8.tif,19.0,,24.0,,30.0,,36.0,,5.0,6.0,6.0,17.0
v2b,DB3_B,108_8.tif,19.0,,26.0,,37.0,,33.0,,7.0,11.0,-4.0,14.0
v2a,DB3_B,109_1.tif,11.0,,27.0,,37.0,,50.0,,16.0,10.0,13.0,39.0
v2b,DB3_B,109_1.tif,11.0,,21.0,,18.0,,35.0,,10.0,-3.0,17.0,24.0
v2a,DB3_B,109_2.tif,17.0,,22.0,,47.0,,47.0,,5.0,25.0,0.0,30.0
v2b,DB3_B,109_2.tif,17.0,,20.0,,18.0,,30.0,,3.0,-2.0,12.0,13.0
v2a,DB3_B,109_3.tif,15.0,,20.0,,38.0,,42.0,,5.0,18.0,4.0,27.0
v2b,DB3_B,109_3.tif,15.0,,13.0,,16.0,,22.0,,-2.0,3.0,6.0,7.0
v2a,DB3_B,109_4.tif,20.0,,22.0,,26.0,,52.0,,2.0,4.0,26.0,32.0
v2b,DB3_B,109_4.tif,20.0,,21.0,,24.0,,32.0,,1.0,3.0,8.0,12.0
v2a,DB3_B,109_5.tif,31.0,,37.0,,47.0,,54.0,,6.0,10.0,7.0,23.0
v2b,DB3_B,109_5.tif,31.0,,46.0,,45.0,,49.0,,15.0,-1.0,4.0,18.0
v2a,DB3_B,109_6.tif,38.0,,44.0,,53.0,,72.0,,6.0,9.0,19.0,34.0
v2b,DB3_B,109_6.tif,38.0,,45.0,,44.0,,55.0,,7.0,-1.0,11.0,17.0
v2a,DB3_B,109_7.tif,11.0,,19.0,,44.0,,46.0,,8.0,25.0,2.0,35.0
v2b,DB3_B,109_7.tif,11.0,,11.0,,12.0,,29.0,,0.0,1.0,17.0,18.0
v2a,DB3_B,109_8.tif,16.0,,22.0,,37.0,,51.0,,6.0,15.0,14.0,35.0
v2b,DB3_B,109_8.tif,16.0,,16.0,,22.0,,29.0,,0.0,6.0,7.0,13.0
v2a,DB3_B,110_1.tif,12.0,,26.0,,38.0,,36.0,,14.0,12.0,-2.0,24.0
v2b,DB3_B,110_1.tif,12.0,,15.0,,16.0,,34.0,,3.0,1.0,18.0,22.0
v2a,DB3_B,110_2.tif,17.0,,22.0,,34.0,,51.0,,5.0,12.0,17.0,34.0
v2b,DB3_B,110_2.tif,17.0,,10.0,,16.0,,20.0,,-7.0,6.0,4.0,3.0
v2a,DB3_B,110_3.tif,11.0,,17.0,,15.0,,19.0,,6.0,-2.0,4.0,8.0
v2b,DB3_B,110_3.tif,11.0,,9.0,,9.0,,10.0,,-2.0,0.0,1.0,-1.0
v2a,DB3_B,110_4.tif,19.0,,30.0,,40.0,,36.0,,11.0,10.0,-4.0,17.0
v2b,DB3_B,110_4.tif,19.0,,17.0,,18.0,,36.0,,-2.0,1.0,18.0,17.0
v2a,DB3_B,110_5.tif,,Error: NFIQ2 computeUnifiedQualityScore returned an error code: Could not create feature set from raw data: FRFXLL_ERR_FB_TOO_SMALL_AREA: Fingerprint area is too small. Most likely this is because the tip of the finger is presented.,17.0,,23.0,,41.0,,,6.0,18.0,
v2b,DB3_B,110_5.tif,,Error: NFIQ2 computeUnifiedQualityScore returned an error code: Could not create feature set from raw data: FRFXLL_ERR_FB_TOO_SMALL_AREA: Fingerprint area is too small. Most likely this is because the tip of the finger is presented.,14.0,,18.0,,21.0,,,4.0,3.0,
v2a,DB3_B,110_6.tif,18.0,,23.0,,36.0,,39.0,,5.0,13.0,3.0,21.0
v2b,DB3_B,110_6.tif,18.0,,15.0,,16.0,,13.0,,-3.0,1.0,-3.0,-5.0
v2a,DB3_B,110_7.tif,17.0,,13.0,,46.0,,40.0,,-4.0,33.0,-6.0,23.0
v2b,DB3_B,110_7.tif,17.0,,10.0,,8.0,,16.0,,-7.0,-2.0,8.0,-1.0
v2a,DB3_B,110_8.tif,11.0,,20.0,,49.0,,43.0,,9.0,29.0,-6.0,32.0
v2b,DB3_B,110_8.tif,11.0,,14.0,,20.0,,20.0,,3.0,6.0,0.0,9.0
v2a,DB4_B,101_1.tif,39.0,,45.0,,48.0,,46.0,,6.0,3.0,-2.0,7.0
v2b,DB4_B,101_1.tif,39.0,,43.0,,45.0,,57.0,,4.0,2.0,12.0,18.0
v2a,DB4_B,101_2.tif,39.0,,37.0,,42.0,,40.0,,-2.0,5.0,-2.0,1.0
v2b,DB4_B,101_2.tif,39.0,,37.0,,34.0,,46.0,,-2.0,-3.0,12.0,7.0
v2a,DB4_B,101_3.tif,42.0,,54.0,,50.0,,53.0,,12.0,-4.0,3.0,11.0
v2b,DB4_B,101_3.tif,42.0,,48.0,,51.0,,61.0,,6.0,3.0,10.0,19.0
v2a,DB4_B,101_4.tif,50.0,,43.0,,48.0,,41.0,,-7.0,5.0,-7.0,-9.0
v2b,DB4_B,101_4.tif,50.0,,55.0,,58.0,,57.0,,5.0,3.0,-1.0,7.0
v2a,DB4_B,101_5.tif,37.0,,34.0,,52.0,,34.0,,-3.0,18.0,-18.0,-3.0
v2b,DB4_B,101_5.tif,37.0,,30.0,,34.0,,39.0,,-7.0,4.0,5.0,2.0
v2a,DB4_B,101_6.tif,37.0,,42.0,,50.0,,45.0,,5.0,8.0,-5.0,8.0
v2b,DB4_B,101_6.tif,37.0,,48.0,,50.0,,52.0,,11.0,2.0,2.0,15.0
v2a,DB4_B,101_7.tif,37.0,,33.0,,43.0,,30.0,,-4.0,10.0,-13.0,-7.0
v2b,DB4_B,101_7.tif,37.0,,34.0,,35.0,,42.0,,-3.0,1.0,7.0,5.0
v2a,DB4_B,101_8.tif,35.0,,38.0,,35.0,,43.0,,3.0,-3.0,8.0,8.0
v2b,DB4_B,101_8.tif,35.0,,33.0,,37.0,,46.0,,-2.0,4.0,9.0,11.0
v2a,DB4_B,102_1.tif,44.0,,43.0,,64.0,,57.0,,-1.0,21.0,-7.0,13.0
v2b,DB4_B,102_1.tif,44.0,,49.0,,47.0,,64.0,,5.0,-2.0,17.0,20.0
v2a,DB4_B,102_2.tif,42.0,,55.0,,59.0,,53.0,,13.0,4.0,-6.0,11.0
v2b,DB4_B,102_2.tif,42.0,,49.0,,48.0,,59.0,,7.0,-1.0,11.0,17.0
